Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source
2016,Black or African American,All Origins,666,A,us,YLL,age-adjusted rate,attributable,2399.9209139389,1394.94570284801,3763.77544136071,wonder
2016,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,182.500393555338,106.434658003844,287.767543695613,wonder
2016,Black or African American,All Origins,666,F,us,Deaths,absolute number,attributable,1400.95376003033,819.345108096617,2188.14538047691,wonder
2016,Black or African American,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,71.2195637573073,41.110049871892,111.853276457608,wonder
2016,Black or African American,All Origins,666,F,us,Deaths,crude rate,attributable,5.94553287750681,3.47723345137912,9.28630956392769,wonder
2016,Black or African American,All Origins,666,F,us,YLL,absolute number,attributable,34121.1486000736,20009.3085483894,53358.5098909394,wonder
2016,Black or African American,All Origins,666,F,us,YLL,age-adjusted rate,attributable,1767.71400342884,1029.13597310858,2758.74957834791,wonder
2016,Black or African American,All Origins,666,F,us,YLL,crude rate,attributable,144.807356679382,84.9178646895898,226.449140508738,wonder
2016,Black or African American,All Origins,666,M,us,Deaths,absolute number,attributable,1749.94548246802,1012.93177335222,2759.56590766468,wonder
2016,Black or African American,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,125.526745733923,72.3259661850081,197.883012428593,wonder
2016,Black or African American,All Origins,666,M,us,Deaths,crude rate,attributable,8.04798793328969,4.65846666130832,12.6912257258899,wonder
2016,Black or African American,All Origins,666,M,us,YLL,absolute number,attributable,48351.7216281904,27945.1720730412,76641.1880955015,wonder
2016,Black or African American,All Origins,666,M,us,YLL,age-adjusted rate,attributable,3193.95537587409,1847.64004882111,5034.03169671826,wonder
2016,Black or African American,All Origins,666,M,us,YLL,crude rate,attributable,222.369254423084,128.519665264286,352.472327375406,wonder
2016,White,Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,1597.74058913668,943.163151705348,2507.79471679876,wonder
2016,White,Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,55.6662874931547,32.4049624644728,87.6090048184879,wonder
2016,White,Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,3.10977248989749,1.83573155905311,4.88106209082727,wonder
2016,White,Hispanic or Latino,666,A,us,YLL,absolute number,attributable,38875.5040905029,23282.4206340077,60658.9767919661,wonder
2016,White,Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,1299.78729970488,769.110811178232,2038.09167986777,wonder
2016,White,Hispanic or Latino,666,A,us,YLL,crude rate,attributable,75.6655829948384,45.3158864950543,118.063982711307,wonder
2016,White,Hispanic or Latino,666,F,us,Deaths,absolute number,attributable,659.328146332855,393.404305602491,1032.38737464678,wonder
2016,White,Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,40.3869362671803,23.5618924891115,63.4422349460975,wonder
2016,White,Hispanic or Latino,666,F,us,Deaths,crude rate,attributable,2.59338398023769,1.54740614302695,4.06076533164861,wonder
2016,White,Hispanic or Latino,666,F,us,YLL,absolute number,attributable,14149.5675568425,8416.13612290913,22027.3708574446,wonder
2016,White,Hispanic or Latino,666,F,us,YLL,age-adjusted rate,attributable,895.466079286583,531.203693753314,1401.50625772372,wonder
2016,White,Hispanic or Latino,666,F,us,YLL,crude rate,attributable,55.6555366751797,33.1038083510446,86.6418808694575,wonder
2016,White,Hispanic or Latino,666,M,us,Deaths,absolute number,attributable,936.026449367999,552.714681507563,1467.58223659771,wonder
