"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	17	20772	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	12	22026	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	18	26339	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	17	27356	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	22	29134	75.5
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	25	30208	82.8
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	26	32583	79.8
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	29	35415	81.9
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	30	36380	82.5
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	25	37589	66.5
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	31	39461	78.6
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	42	41670	100.8
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	35	45501	76.9
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	42	45440	92.4
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	53	46474	114.0
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	41	47565	86.2
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	41	48962	83.7
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	11	13551	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	14	16155	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	15	17064	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	18	18848	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	27	20222	133.5
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	16	21205	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	17	22286	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	27	23316	115.8
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	25	24462	102.2
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	29	25761	112.6
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	31	27768	111.6
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	37	30310	122.1
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	35	30514	114.7
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	34	31041	109.5
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	37	31265	118.3
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	35	32976	106.1
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	14	18015	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	25	20283	123.3
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	21	20982	100.1
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	19	25091	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	15	26017	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	24	27725	86.6
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	23	28779	79.9
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	25	31031	80.6
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	29	33756	85.9
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	27	34744	77.7
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	37	35790	103.4
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	43	38345	112.1
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	38	39984	95.0
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	37	43710	84.6
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	35	43802	79.9
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	36	44699	80.5
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	43	45571	94.4
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	12	10339	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	11	12615	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	19	15071	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	12	15915	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	26	17584	147.9
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	26	18921	137.4
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	20	19876	100.6
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	25	20964	119.3
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	23	21991	104.6
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	23	22849	100.7
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	30	24781	121.1
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	33	26137	126.3
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	30	28576	105.0
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	37	28882	128.1
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	28	29312	95.5
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	33	29360	112.4
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	15	16556	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	16	17166	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	14	19138	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	16	19810	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	15	23605	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	22	24505	89.8
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	33	26105	126.4
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	21	27052	77.6
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	28	29204	95.9
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	41	31794	129.0
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	29	32412	89.5
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	38	34286	110.8
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	34	36595	92.9
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	31	38179	81.2
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	45	41886	107.4
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	35	41895	83.5
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	43	42570	101.0
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	10	11619	Unreliable
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	17	14621	Unreliable
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	12	16147	Unreliable
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	20	17397	115.0
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	21	18297	114.8
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	34	19321	176.0
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	11	20008	Unreliable
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	20	21573	92.7
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	23	23220	99.1
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	25	24524	101.9
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	36	26939	133.6
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	37	27157	136.2
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	35	27391	127.8
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	12	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	19	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	16	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	18	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	17	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	29	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	20	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	29	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	28	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	27	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	40	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	31	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	38	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	35	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	41	Not Applicable	Not Applicable
	"85 years"	"85"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	48	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	13	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	15	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	13	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	19	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	26	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	18	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	21	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	22	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	21	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	28	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	25	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	33	Not Applicable	Not Applicable
	"85 years"	"85"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	42	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	16	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	19	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	10	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	13	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	12	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	14	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	19	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	18	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	28	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	26	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	20	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	32	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	38	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	38	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	32	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	39	Not Applicable	Not Applicable
	"86 years"	"86"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	38	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	12	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	13	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	13	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	20	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	10	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	24	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	17	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	18	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	31	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	21	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	27	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	24	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	27	Not Applicable	Not Applicable
	"86 years"	"86"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	41	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	15	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	10	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	14	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	10	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	17	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	25	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	18	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	28	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	35	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	27	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	26	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	28	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	41	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	34	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	51	Not Applicable	Not Applicable
	"87 years"	"87"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	32	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	11	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	15	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	18	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	15	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	22	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	16	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	19	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	23	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	24	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	27	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	23	Not Applicable	Not Applicable
	"87 years"	"87"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	35	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	13	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	12	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	11	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	11	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	14	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	22	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	14	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	19	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	22	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	25	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	21	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	30	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	29	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	20	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	35	Not Applicable	Not Applicable
	"88 years"	"88"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	34	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	16	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	13	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	12	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	10	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	22	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	19	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	13	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	14	Not Applicable	Not Applicable
	"88 years"	"88"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	29	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	15	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	11	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	14	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	12	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	14	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	18	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	18	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	22	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	18	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	25	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	23	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	38	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	25	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	36	Not Applicable	Not Applicable
	"89 years"	"89"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	32	Not Applicable	Not Applicable
	"89 years"	"89"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	10	Not Applicable	Not Applicable
	"89 years"	"89"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	10	Not Applicable	Not Applicable
	"89 years"	"89"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	10	Not Applicable	Not Applicable
	"89 years"	"89"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	13	Not Applicable	Not Applicable
	"89 years"	"89"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	19	Not Applicable	Not Applicable
	"89 years"	"89"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	24	Not Applicable	Not Applicable
	"89 years"	"89"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	23	Not Applicable	Not Applicable
	"89 years"	"89"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	33	Not Applicable	Not Applicable
	"89 years"	"89"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	30	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	10	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	20	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	10	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	17	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	14	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	20	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	19	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	22	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	29	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	24	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	25	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	27	Not Applicable	Not Applicable
	"90 years"	"90"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	33	Not Applicable	Not Applicable
	"90 years"	"90"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	15	Not Applicable	Not Applicable
	"90 years"	"90"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	13	Not Applicable	Not Applicable
	"90 years"	"90"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	16	Not Applicable	Not Applicable
	"90 years"	"90"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	11	Not Applicable	Not Applicable
	"90 years"	"90"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	19	Not Applicable	Not Applicable
	"90 years"	"90"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	22	Not Applicable	Not Applicable
	"90 years"	"90"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	23	Not Applicable	Not Applicable
	"91 years"	"91"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	15	Not Applicable	Not Applicable
	"91 years"	"91"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	10	Not Applicable	Not Applicable
