Year,Race,Hispanic.Origin,Education,Gender.Code,STATEFP,measure1,measure2,attr,mean,lower,upper,source
2010,American Indian or Alaska Native,All Origins,666,A,46,Deaths,absolute number,attributable,0.202572254489478,0.202572254489478,0.202572254489478,wonder
2010,American Indian or Alaska Native,All Origins,666,A,46,Deaths,age-adjusted rate,attributable,0.940233202257638,0.940233202257638,0.940233202257638,wonder
2010,American Indian or Alaska Native,All Origins,666,A,46,Deaths,crude rate,attributable,0.262175153999791,0.262175153999791,0.262175153999791,wonder
2010,American Indian or Alaska Native,All Origins,666,A,46,YLL,absolute number,attributable,7.07278614927323,7.07278614927323,7.07278614927323,wonder
2010,American Indian or Alaska Native,All Origins,666,A,46,YLL,age-adjusted rate,attributable,32.8281303220627,32.8281303220627,32.8281303220627,wonder
2010,American Indian or Alaska Native,All Origins,666,A,46,YLL,crude rate,attributable,9.1538142899506,9.1538142899506,9.1538142899506,wonder
2010,American Indian or Alaska Native,All Origins,666,A,53,Deaths,absolute number,attributable,0.903037283511497,0.903037283511497,0.903037283511497,wonder
2010,American Indian or Alaska Native,All Origins,666,A,53,Deaths,age-adjusted rate,attributable,2.30371524977005,2.30371524977005,2.30371524977005,wonder
2010,American Indian or Alaska Native,All Origins,666,A,53,Deaths,crude rate,attributable,0.608044496186579,0.608044496186579,0.608044496186579,wonder
2010,American Indian or Alaska Native,All Origins,666,A,53,YLL,absolute number,attributable,24.8663810226553,24.8663810226553,24.8663810226553,wonder
2010,American Indian or Alaska Native,All Origins,666,A,53,YLL,age-adjusted rate,attributable,54.4036272873983,54.4036272873983,54.4036272873983,wonder
2010,American Indian or Alaska Native,All Origins,666,A,53,YLL,crude rate,attributable,16.7433464785748,16.7433464785748,16.7433464785748,wonder
2010,American Indian or Alaska Native,All Origins,666,A,55,Deaths,absolute number,attributable,0.488474614225143,0.488474614225143,0.488474614225143,wonder
2010,American Indian or Alaska Native,All Origins,666,A,55,Deaths,age-adjusted rate,attributable,2.78919590182567,2.78919590182567,2.78919590182567,wonder
2010,American Indian or Alaska Native,All Origins,666,A,55,Deaths,crude rate,attributable,0.719773983975751,0.719773983975751,0.719773983975751,wonder
2010,American Indian or Alaska Native,All Origins,666,A,55,YLL,absolute number,attributable,12.5444654441628,12.5444654441628,12.5444654441628,wonder
2010,American Indian or Alaska Native,All Origins,666,A,55,YLL,age-adjusted rate,attributable,71.6290480375419,71.6290480375419,71.6290480375419,wonder
2010,American Indian or Alaska Native,All Origins,666,A,55,YLL,crude rate,attributable,18.4844403509361,18.4844403509361,18.4844403509361,wonder
2010,Asian or Pacific Islander,All Origins,666,A,4,Deaths,absolute number,attributable,1.00166566288445,1.00166566288445,1.00166566288445,wonder
2010,Asian or Pacific Islander,All Origins,666,A,4,Deaths,age-adjusted rate,attributable,1.8939091891866,1.8939091891866,1.8939091891866,wonder
2010,Asian or Pacific Islander,All Origins,666,A,4,Deaths,crude rate,attributable,0.444132638187957,0.444132638187957,0.444132638187957,wonder
2010,Asian or Pacific Islander,All Origins,666,A,4,YLL,absolute number,attributable,16.2722518010045,16.2722518010045,16.2722518010045,wonder
2010,Asian or Pacific Islander,All Origins,666,A,4,YLL,age-adjusted rate,attributable,30.9476439677387,30.9476439677387,30.9476439677387,wonder
2010,Asian or Pacific Islander,All Origins,666,A,4,YLL,crude rate,attributable,7.21502033006456,7.21502033006456,7.21502033006456,wonder
2010,Asian or Pacific Islander,All Origins,666,A,6,Deaths,absolute number,attributable,332.215457250592,332.215457250592,332.215457250592,wonder
2010,Asian or Pacific Islander,All Origins,666,A,6,Deaths,age-adjusted rate,attributable,12.0693445589118,12.0693445589118,12.0693445589118,wonder
2010,Asian or Pacific Islander,All Origins,666,A,6,Deaths,crude rate,attributable,5.99342336732079,5.99342336732079,5.99342336732079,wonder
2010,Asian or Pacific Islander,All Origins,666,A,6,YLL,absolute number,attributable,6666.18429646973,6666.18429646973,6666.18429646973,wonder
2010,Asian or Pacific Islander,All Origins,666,A,6,YLL,age-adjusted rate,attributable,261.301263913705,261.301263913705,261.301263913705,wonder
2010,Asian or Pacific Islander,All Origins,666,A,6,YLL,crude rate,attributable,120.263111969506,120.263111969506,120.263111969506,wonder
2010,Asian or Pacific Islander,All Origins,666,A,8,Deaths,absolute number,attributable,0.230327250267418,0.230327250267418,0.230327250267418,wonder
2010,Asian or Pacific Islander,All Origins,666,A,8,Deaths,age-adjusted rate,attributable,0.716728578960735,0.716728578960735,0.716728578960735,wonder
2010,Asian or Pacific Islander,All Origins,666,A,8,Deaths,crude rate,attributable,0.133638476288166,0.133638476288166,0.133638476288166,wonder
2010,Asian or Pacific Islander,All Origins,666,A,8,YLL,absolute number,attributable,3.04923907332125,3.04923907332125,3.04923907332125,wonder
2010,Asian or Pacific Islander,All Origins,666,A,8,YLL,age-adjusted rate,attributable,9.48857239165439,9.48857239165439,9.48857239165439,wonder
2010,Asian or Pacific Islander,All Origins,666,A,8,YLL,crude rate,attributable,1.76920300626121,1.76920300626121,1.76920300626121,wonder
2010,Asian or Pacific Islander,All Origins,666,A,12,Deaths,absolute number,attributable,8.6685166304363,8.6685166304363,8.6685166304363,wonder
2010,Asian or Pacific Islander,All Origins,666,A,12,Deaths,age-adjusted rate,attributable,5.08243937305595,5.08243937305595,5.08243937305595,wonder
2010,Asian or Pacific Islander,All Origins,666,A,12,Deaths,crude rate,attributable,1.59343045616973,1.59343045616973,1.59343045616973,wonder
2010,Asian or Pacific Islander,All Origins,666,A,12,YLL,absolute number,attributable,197.295572378965,197.295572378965,197.295572378965,wonder
2010,Asian or Pacific Islander,All Origins,666,A,12,YLL,age-adjusted rate,attributable,104.09157597875,104.09157597875,104.09157597875,wonder
2010,Asian or Pacific Islander,All Origins,666,A,12,YLL,crude rate,attributable,36.2665017901984,36.2665017901984,36.2665017901984,wonder
