Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2004,1,White,Not Hispanic or Latino,F,666,wonder,YLL,crude rate,1217.59646164687,1251.89495352425,1286.19344540162,attributable,DI
2004,1,White,Not Hispanic or Latino,M,666,wonder,Deaths,absolute number,974.423699016456,1001.87225391833,1029.3208088202,attributable,DI
2004,1,White,Not Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,121.46198740247,124.883451836343,128.304916270215,attributable,DI
2004,1,White,Not Hispanic or Latino,M,666,wonder,Deaths,crude rate,63.1557875528606,64.9348238219553,66.7138600910499,attributable,DI
2004,1,White,Not Hispanic or Latino,M,666,wonder,YLL,absolute number,24735.3978954975,25432.1696672016,26128.9414389058,attributable,DI
2004,1,White,Not Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,3151.9851823012,3240.7734972956,3329.56181229,attributable,DI
2004,1,White,Not Hispanic or Latino,M,666,wonder,YLL,crude rate,1603.18713112204,1648.34733199871,1693.50753287539,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,absolute number,10.4791334941691,10.7743203531598,11.0695072121505,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,age-adjusted rate,31.4152230254039,32.3001588852745,33.185094745145,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,crude rate,9.29652282553304,9.55839670794242,9.82027059035181,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,absolute number,370.688711070384,381.130646593494,391.572582116603,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,age-adjusted rate,874.804628135465,899.447012026605,924.089395917744,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,crude rate,328.855059013302,338.118581802409,347.382104591516,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,absolute number,4.34632619588577,4.46875791971354,4.5911896435413,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,age-adjusted rate,25.2743415644038,25.9862948479081,26.6982481314124,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,crude rate,7.77114948575116,7.9900551050681,8.20896072438503,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,absolute number,129.083990919727,132.720159678029,136.356328436331,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,age-adjusted rate,643.774220399936,661.908705481624,680.043190563313,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,crude rate,230.799747751125,237.301149096227,243.802550441329,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,absolute number,5.56483050447322,5.72158629333162,5.87834208219002,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,age-adjusted rate,34.8548519706216,35.8366787866954,36.8185056027692,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,crude rate,9.79861689053602,10.0746342677342,10.3506516449324,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,absolute number,217.810013197238,223.945506526737,230.080999856237,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,age-adjusted rate,1027.36063973717,1056.3003760678,1085.24011239842,attributable,DI
2004,2,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,crude rate,383.522350326169,394.32579681423,405.129243302291,attributable,DI
2004,2,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,absolute number,0.324429338202445,0.333568192799697,0.342707047396949,attributable,DI
2004,2,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,age-adjusted rate,1.99629597698119,2.05252966647361,2.10876335596604,attributable,DI
2004,2,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,crude rate,0.8226730353039,0.845846923622319,0.869020811940739,attributable,DI
2004,2,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,absolute number,12.0234390186465,12.362127441707,12.7008158647674,attributable,DI
2004,2,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,age-adjusted rate,73.3295411888985,75.395162067459,77.4607829460195,attributable,DI
2004,2,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,crude rate,30.4884851877638,31.3473157564332,32.2061463251026,attributable,DI
2004,2,Black or African American,All Origins,A,666,wonder,Deaths,absolute number,0.40711085736759,0.418578768842733,0.430046680317877,attributable,DI
2004,2,Black or African American,All Origins,A,666,wonder,Deaths,age-adjusted rate,5.14056660886921,5.28537130207679,5.43017599528438,attributable,DI
2004,2,Black or African American,All Origins,A,666,wonder,Deaths,crude rate,1.42033582446914,1.46034528431334,1.50035474415754,attributable,DI
2004,2,Black or African American,All Origins,A,666,wonder,YLL,absolute number,16.1517571756918,16.6067362510634,17.061715326435,attributable,DI
2004,2,Black or African American,All Origins,A,666,wonder,YLL,age-adjusted rate,196.899013970095,202.445465067844,207.991916165593,attributable,DI
2004,2,Black or African American,All Origins,A,666,wonder,YLL,crude rate,56.3505466130264,57.9378859542384,59.5252252954504,attributable,DI
2004,2,White,Not Hispanic or Latino,A,666,wonder,Deaths,absolute number,33.0271633129296,33.9575059414629,34.8878485699961,attributable,DI
2004,2,White,Not Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,20.6349920705316,21.2162594528001,21.7975268350686,attributable,DI
2004,2,White,Not Hispanic or Latino,A,666,wonder,Deaths,crude rate,7.28317587699563,7.48833576085466,7.69349564471369,attributable,DI
2004,2,White,Not Hispanic or Latino,A,666,wonder,YLL,absolute number,983.433718260719,1011.13607652158,1038.83843478245,attributable,DI
2004,2,White,Not Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,527.119075454544,541.967500115235,556.815924775927,attributable,DI
2004,2,White,Not Hispanic or Latino,A,666,wonder,YLL,crude rate,216.867572476519,222.976518180083,229.085463883646,attributable,DI
2004,2,White,Not Hispanic or Latino,F,666,wonder,Deaths,absolute number,13.180786059912,13.5520758080786,13.9233655562451,attributable,DI
2004,2,White,Not Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,16.2497232993284,16.7074619838166,17.1652006683047,attributable,DI
2004,2,White,Not Hispanic or Latino,F,666,wonder,Deaths,crude rate,6.10993805129262,6.28204898231494,6.45415991333727,attributable,DI
2004,2,White,Not Hispanic or Latino,F,666,wonder,YLL,absolute number,320.065507487948,329.081437276341,338.097367064734,attributable,DI
2004,2,White,Not Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,366.767049247493,377.098515423479,387.429981599464,attributable,DI
2004,2,White,Not Hispanic or Latino,F,666,wonder,YLL,crude rate,148.365993819943,152.545317589519,156.724641359095,attributable,DI
2004,2,White,Not Hispanic or Latino,M,666,wonder,Deaths,absolute number,19.1024584975721,19.6405559200389,20.1786533425057,attributable,DI
2004,2,White,Not Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,24.3410406881139,25.026703806089,25.712366924064,attributable,DI
2004,2,White,Not Hispanic or Latino,M,666,wonder,Deaths,crude rate,8.03485183603108,8.26118569056716,8.48751954510325,attributable,DI
2004,2,White,Not Hispanic or Latino,M,666,wonder,YLL,absolute number,615.840018699007,633.187624859542,650.535231020078,attributable,DI
2004,2,White,Not Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,641.141621316793,659.201948677829,677.262276038865,attributable,DI
2004,2,White,Not Hispanic or Latino,M,666,wonder,YLL,crude rate,259.033846641993,266.330574716416,273.627302790838,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,absolute number,6.45764269523777,6.63954812327264,6.82145355130751,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,age-adjusted rate,7.21545271993984,7.41870490923392,7.621957098528,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,crude rate,2.1085767120441,2.16797323914393,2.22736976624377,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,absolute number,235.186870751983,241.811853026686,248.43683530139,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,age-adjusted rate,211.194574798075,217.143717750133,223.092860702192,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,crude rate,76.7942083590143,78.9574254958879,81.1206426327616,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,absolute number,2.84896275719784,2.92921522923158,3.00946770126532,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,age-adjusted rate,6.08534903199018,6.25676731458145,6.42818559717272,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,crude rate,1.83158857006792,1.88318261429518,1.93477665852245,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,absolute number,91.0306004425736,93.5948427085616,96.1590849745496,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,age-adjusted rate,163.231000605614,167.829056960701,172.427113315789,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,crude rate,58.5232667137526,60.1718094380837,61.8203521624147,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,absolute number,3.50286963359296,3.60154201763784,3.70021440168271,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,age-adjusted rate,8.36373847490632,8.59933674180509,8.83493500870386,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,crude rate,2.32424499608053,2.38971668611097,2.4551883761414,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,absolute number,136.769507028453,140.622169198269,144.474831368084,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,age-adjusted rate,258.229803204724,265.503882168237,272.77796113175,attributable,DI
2004,4,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,crude rate,90.7501207806072,93.3064622110468,95.8628036414865,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,absolute number,6.0538067745527,6.22433654284995,6.39486631114721,attributable,DI
