"FIPS.code","rural_urban_class","fromYear"
5065,6,2000
5065,6,1990
5065,6,2010
5067,6,2000
5067,6,1990
5067,6,2010
5069,4,2000
5053,4,2000
5085,4,2000
5053,4,1990
5069,4,1990
5085,4,1990
5069,4,2010
5073,6,2000
5073,6,1990
5073,6,2010
5077,6,2000
5077,6,1990
5077,6,2010
5079,4,2000
5079,4,1990
5079,4,2010
5081,4,2000
5081,4,1990
5081,4,2010
5083,6,2000
5083,6,1990
5083,6,2010
5117,3,2000
5117,3,1990
5085,3,2010
5089,6,2000
5089,6,1990
5089,6,2010
5091,4,2000
5091,4,1990
5091,4,2010
5093,5,2000
5093,5,1990
5093,5,2010
5095,6,2000
5095,6,1990
5095,6,2010
5013,5,2000
5103,5,2000
5099,5,2000
5013,5,1990
5099,5,1990
5103,5,1990
5103,5,2010
5105,3,2000
5105,3,1990
5105,3,2010
5107,5,2000
5107,5,1990
5107,5,2010
5111,4,2000
5111,4,1990
5111,4,2010
5097,6,2000
5113,6,2000
5097,6,1990
5113,6,1990
5113,6,2010
5129,5,2000
5071,5,2000
5115,5,2000
5149,5,2000
5071,5,1990
5115,5,1990
5129,5,1990
5149,5,1990
5115,5,2010
5119,3,2000
5125,3,2000
5119,3,1990
5125,3,1990
5119,3,2010
5121,6,2000
5121,6,1990
5121,6,2010
5123,5,2000
5123,5,1990
5123,5,2010
5059,3,2000
5059,3,1990
5125,3,2010
5127,6,2000
5127,6,1990
5127,6,2010
5131,3,2000
5131,3,1990
5131,3,2010
5133,6,2000
5133,6,1990
5133,6,2010
5135,6,2000
5135,6,1990
5135,6,2010
5137,6,2000
5137,6,1990
5137,6,2010
5139,5,2000
5027,5,2000
5027,5,1990
5139,5,1990
5139,5,2010
5141,6,2000
5141,6,1990
5141,6,2010
5145,5,2000
5145,5,1990
5145,5,2010
5147,6,2000
5147,6,1990
5147,6,2010
6013,1,2000
6013,1,1990
6001,1,2010
6007,4,2000
6103,4,2000
6063,4,2000
6101,4,2000
6007,4,1990
6063,4,1990
6101,4,1990
6103,4,1990
6007,4,2010
6009,6,2000
6009,6,1990
6009,6,2010
6015,5,2000
6015,5,1990
6015,5,2010
6019,3,2000
6107,3,2000
6019,3,1990
6107,3,1990
6019,3,2010
6023,5,2000
6023,5,1990
6023,5,2010
6025,4,2000
6025,4,1990
6025,4,2010
6027,6,2000
6027,6,1990
6027,6,2010
6021,5,2000
6021,5,1990
6033,5,2010
6037,1,2000
6111,1,2000
6071,1,2000
6059,1,2000
6029,1,2000
6029,1,1990
6037,1,1990
6059,1,1990
6071,1,1990
6111,1,1990
6037,1,2010
6041,2,2000
6041,2,1990
6041,2,2010
6045,5,2000
6045,5,1990
6045,5,2010
6039,3,2000
6043,3,2000
6039,3,1990
6043,3,1990
6047,3,2010
6049,6,2000
6049,6,1990
6049,6,2010
6051,6,2000
6051,6,1990
6051,6,2010
6053,3,2000
6053,3,1990
6053,3,2010
6055,4,2000
6055,4,1990
6055,4,2010
6065,1,1990
6059,1,2010
6115,2,2000
6057,2,2000
6057,2,1990
6115,2,1990
6061,2,2010
6091,6,2000
6091,6,1990
6063,6,2010
6065,1,2000
6065,1,2010
6067,1,2000
6061,1,2000
6017,1,2000
6017,1,1990
6061,1,1990
6067,1,1990
6067,1,2010
6073,1,2000
6073,1,1990
6073,1,2010
6075,1,2000
6075,1,1990
6075,1,2010
6077,3,2000
6005,3,2000
6005,3,1990
6077,3,1990
6077,3,2010
6079,3,2000
6079,3,1990
6083,3,2010
6085,1,2000
6001,1,2000
6081,1,2000
6087,1,2000
6069,1,2000
6047,1,2000
6099,1,2000
6001,1,1990
6047,1,1990
6069,1,1990
6081,1,1990
6085,1,1990
6087,1,1990
6099,1,1990
6085,1,2010
6089,4,2000
6105,4,2000
6035,4,2000
6035,4,1990
6089,4,1990
6105,4,1990
6089,4,2010
6093,6,2000
6093,6,1990
6093,6,2010
6095,3,2000
6095,3,1990
6095,3,2010
6097,3,2000
6097,3,1990
6097,3,2010
6031,3,2000
6031,3,1990
6107,3,2010
6109,5,2000
6003,5,2000
6003,5,1990
6109,5,1990
6109,5,2010
6083,3,2000
6083,3,1990
6111,3,2010
6113,2,2000
6011,2,2000
6033,2,2000
6011,2,1990
6033,2,1990
6113,2,1990
6113,2,2010
8123,2,2000
8123,2,1990
8001,2,2010
8003,6,2000
8003,6,1990
8003,6,2010
8005,2,2000
8035,2,2000
8001,2,2000
8031,2,2000
8001,2,1990
8005,2,1990
8031,2,1990
8035,2,1990
8005,2,2010
8007,6,2000
8007,6,1990
8105,6,1990
8007,6,2010
8009,6,2000
8009,6,1990
8009,6,2010
8011,6,2000
8011,6,1990
8011,6,2010
8014,2,1990
8014,2,2000
8014,2,2010
8015,6,2000
8015,6,1990
8015,6,2010
8061,6,2000
8061,6,1990
8017,6,2010
8019,2,2000
8019,2,1990
8019,2,2010
8021,6,2000
8021,6,1990
8021,6,2010
8073,6,2000
8025,6,2000
8025,6,1990
8073,6,1990
8025,6,2010
8059,1,2000
8059,1,1990
8031,1,2010
8033,6,2000
8033,6,1990
8033,6,2010
8119,2,2000
8119,2,1990
8035,2,2010
8037,5,2000
8097,5,2000
8037,5,1990
8097,5,1990
8037,5,2010
8041,3,2000
8039,3,2000
8101,3,2000
8039,3,1990
8041,3,1990
8101,3,1990
8041,3,2010
8043,5,2000
8027,5,2000
8027,5,1990
8043,5,1990
8043,5,2010
8049,6,2000
8049,6,1990
8049,6,2010
8079,6,2000
8079,6,1990
8053,6,2010
8055,6,2000
8023,6,2000
8023,6,1990
8055,6,1990
8055,6,2010
8057,6,2000
8057,6,1990
8057,6,2010
8047,2,2000
8047,2,1990
8059,2,2010
8063,6,2000
8017,6,2000
8017,6,1990
8063,6,1990
8063,6,2010
8065,6,2000
8065,6,1990
8065,6,2010
8067,5,2000
8083,5,2000
8067,5,1990
8083,5,1990
8067,5,2010
8069,3,2000
8013,3,2000
8013,3,1990
8069,3,1990
8069,3,2010
8071,6,2000
8071,6,1990
8071,6,2010
8121,5,2000
8121,5,1990
8075,5,2010
8077,4,2000
8045,4,2000
8045,4,1990
8077,4,1990
8077,4,2010
8081,5,2000
8103,5,2000
8081,5,1990
8103,5,1990
8081,5,2010
8085,5,2000
8029,5,2000
8051,5,2000
8029,5,1990
8051,5,1990
8085,5,1990
8085,5,2010
8089,6,2000
8089,6,1990
8089,6,2010
8091,6,2000
8053,6,2000
8053,6,1990
8091,6,1990
8091,6,2010
8095,6,2000
8095,6,1990
8095,6,2010
8099,6,2000
8099,6,1990
8099,6,2010
8105,6,2000
8105,6,2010
8107,5,2000
8107,5,1990
8107,5,2010
8109,6,2000
8109,6,1990
8109,6,2010
8111,6,2000
8111,6,1990
8111,6,2010
8113,6,2000
8113,6,1990
8113,6,2010
8115,6,2000
8115,6,1990
8115,6,2010
8117,5,2000
8093,5,2000
8093,5,1990
8117,5,1990
8117,5,2010
8075,3,2000
8087,3,2000
8075,3,1990
8087,3,1990
8123,3,2010
8125,6,2000
8125,6,1990
8125,6,2010
9001,3,2000
9005,3,2000
9001,3,1990
9005,3,1990
9001,3,2010
9003,1,2000
9003,1,1990
9003,1,2010
9009,3,2000
9007,3,2000
9007,3,1990
9009,3,1990
9009,3,2010
9011,3,2000
9011,3,1990
9011,3,2010
9013,2,2000
9013,2,1990
9013,2,2010
9015,3,2000
9015,3,1990
9015,3,2010
10001,4,2000
10001,4,1990
10001,4,2010
10003,2,2000
10003,2,1990
10003,2,2010
10005,3,2000
10005,3,1990
10005,3,2010
11001,1,2000
11001,1,1990
11001,1,2010
12003,2,2000
12125,2,2000
12003,2,1990
12125,2,1990
12003,2,2010
12005,4,2000
12013,4,2000
12005,4,1990
12013,4,1990
12005,4,2010
12007,6,2000
12007,6,1990
12007,6,2010
12009,3,2000
12097,3,2000
12009,3,1990
12097,3,1990
12009,3,2010
12099,2,2000
12099,2,1990
12011,2,2010
12017,4,2000
12017,4,1990
12017,4,2010
12019,2,2000
12019,2,1990
12019,2,2010
12021,3,2000
12021,3,1990
12021,3,2010
12023,5,2000
12023,5,1990
12023,5,2010
12027,5,2000
12027,5,1990
12027,5,2010
12029,6,2000
12029,6,1990
12029,6,2010
12031,1,2000
12031,1,1990
12031,1,2010
12033,3,2000
12033,3,1990
12033,3,2010
12035,3,2000
12035,3,1990
12035,3,2010
12039,3,2000
12077,3,2000
12039,3,1990
12077,3,1990
12039,3,2010
12041,3,2000
12041,3,1990
12041,3,2010
12045,4,2000
12037,4,2000
12037,4,1990
12045,4,1990
12045,4,2010
12047,6,2000
12047,6,1990
12047,6,2010
12049,5,2000
12049,5,1990
12049,5,2010
12051,5,2000
12051,5,1990
12051,5,2010
12053,2,2000
12053,2,1990
12053,2,2010
12055,4,2000
12043,4,2000
12043,4,1990
12055,4,1990
12055,4,2010
12057,1,2000
12105,1,2000
12101,1,2000
12057,1,1990
12101,1,1990
12105,1,1990
12057,1,2010
12059,6,2000
12059,6,1990
12059,6,2010
12061,4,2000
12061,4,1990
12061,4,2010
12063,6,2000
12133,6,2000
12063,6,1990
12133,6,1990
12063,6,2010
12065,3,2000
12065,3,1990
12065,3,2010
12067,6,2000
12067,6,1990
12067,6,2010
12119,2,2000
12119,2,1990
12069,2,2010
12071,3,2000
12071,3,1990
12071,3,2010
12073,3,2000
12073,3,1990
12073,3,2010
12079,6,2000
12079,6,1990
12079,6,2010
12081,3,2000
12081,3,1990
12081,3,2010
12075,3,2000
12083,3,2000
12001,3,2000
12001,3,1990
12075,3,1990
12083,3,1990
12083,3,2010
12086,1,2000
12011,1,2000
12011,1,1990
12025,1,1990
12086,1,2010
12087,5,2000
12087,5,1990
12087,5,2010
12089,2,2000
12089,2,1990
12089,2,2010
12091,4,2000
12113,4,2000
12091,4,1990
12113,4,1990
12091,4,2010
12095,1,2000
12117,1,2000
12069,1,2000
12069,1,1990
12095,1,1990
12117,1,1990
12095,1,2010
12085,2,2000
12085,2,1990
12099,2,2010
12103,1,2000
12103,1,1990
12103,1,2010
12109,2,2000
12109,2,1990
12109,2,2010
12111,3,2000
12093,3,2000
12093,3,1990
12111,3,1990
12111,3,2010
12115,3,2000
12015,3,2000
12015,3,1990
12115,3,1990
12115,3,2010
12121,6,2000
12121,6,1990
12121,6,2010
12123,6,2000
12123,6,1990
12123,6,2010
12127,3,2000
12107,3,2000
12107,3,1990
12127,3,1990
12127,3,2010
12129,3,2000
12129,3,1990
12129,3,2010
12131,4,2000
12131,4,1990
12131,4,2010
13007,4,2000
13007,4,1990
13007,4,2010
13009,5,2000
13141,5,2000
13319,5,2000
13009,5,1990
13141,5,1990
13319,5,1990
13009,5,2010
13013,2,2000
13013,2,1990
13013,2,2010
13015,2,2000
13129,2,2000
13233,2,2000
13015,2,1990
13129,2,1990
13233,2,1990
13015,2,2010
13021,4,2000
13289,4,2000
13021,4,1990
13289,4,1990
13021,4,2010
13029,3,2000
13029,3,1990
13029,3,2010
13031,5,2000
13043,5,2000
13031,5,1990
13043,5,1990
13031,5,2010
13033,3,2000
13163,3,2000
13165,3,2000
13033,3,1990
13163,3,1990
13165,3,1990
13033,3,2010
13039,5,2000
13039,5,1990
13039,5,2010
13045,2,2000
13143,2,2000
13045,2,1990
13143,2,1990
13045,2,2010
13051,3,2000
13051,3,1990
13051,3,2010
13053,3,2000
13053,3,1990
13053,3,2010
13055,5,2000
13055,5,2010
13057,2,2000
13117,2,2000
13057,2,1990
13117,2,1990
13057,2,2010
13059,4,2000
13195,4,2000
13059,4,1990
13195,4,1990
13059,4,2010
13061,6,2000
13061,6,1990
13061,6,2010
13063,2,2000
13063,2,1990
13063,2,2010
13101,6,2000
13101,6,1990
13065,6,2010
13067,2,2000
13097,2,2000
13067,2,1990
13097,2,1990
13067,2,2010
13069,5,2000
13161,5,2000
13017,5,2000
13299,5,2000
13017,5,1990
13069,5,1990
13161,5,1990
13299,5,1990
13069,5,2010
13071,5,2000
13205,5,2000
13071,5,1990
13205,5,1990
13071,5,2010
13073,3,2000
13073,3,1990
13073,3,2010
13075,6,2000
13075,6,1990
13075,6,2010
13077,2,2000
13077,2,1990
13077,2,2010
13093,5,2000
13081,5,2000
13081,5,1990
13093,5,1990
13081,5,2010
13083,3,2000
13083,3,1990
13083,3,2010
13087,5,2000
13087,5,1990
13087,5,2010
13095,4,2000
13321,4,2000
13095,4,1990
13321,4,1990
13095,4,2010
13037,6,2000
13099,6,2000
13037,6,1990
13099,6,1990
13099,6,2010
13103,3,2000
13103,3,1990
13103,3,2010
13105,6,2000
13105,6,1990
13105,6,2010
13107,6,2000
13107,6,1990
13107,6,2010
13109,6,2000
13109,6,1990
13109,6,2010
13113,2,2000
13113,2,1990
13113,2,2010
13115,4,2000
13115,4,1990
13115,4,2010
13121,1,2000
13089,1,2000
13089,1,1990
13121,1,1990
13121,1,2010
13123,6,2000
13111,6,2000
13111,6,1990
13123,6,1990
13123,6,2010
13125,6,2000
13125,6,1990
13125,6,2010
13127,4,2000
13025,4,2000
13025,4,1990
13127,4,1990
13127,4,2010
13213,5,2000
13213,5,1990
13129,5,2010
13131,6,2000
13131,6,1990
13131,6,2010
13221,6,2000
13133,6,2000
13265,6,2000
13133,6,1990
13221,6,1990
13265,6,1990
13133,6,2010
13135,2,2000
13297,2,2000
13135,2,1990
13297,2,1990
13135,2,2010
13139,4,2000
13137,4,2000
13011,4,2000
13187,4,2000
13011,4,1990
13137,4,1990
13139,4,1990
13187,4,1990
13139,4,2010
13145,3,2000
13145,3,1990
13145,3,2010
13147,6,2000
13147,6,1990
13147,6,2010
13149,2,2000
13149,2,1990
13149,2,2010
13151,2,2000
13035,2,2000
13035,2,1990
13151,2,1990
13151,2,2010
13153,4,2000
13225,4,2000
13153,4,1990
13225,4,1990
