"variable","scenario","pm","pop_size","rural_urban_class","prop","STATEFP"
"AAAA00024","A",2.12,3,666,0.000564546480993602,23
"AAAA00024","A",2.43,3,666,0.000564546480993602,23
"AAAA00024","A",2.51,14,666,0.00263455024463681,23
"AAAA00024","A",2.54,5,666,0.000940910801656003,23
"AAAA00024","A",3.02,2,666,0.000376364320662401,23
"AAAA00024","A",3.04,21,666,0.00395182536695521,23
"AAAA00024","A",3.05,8,666,0.0015054572826496,23
"AAAA00024","A",3.08,53,666,0.00997365449755363,23
"AAAA00024","A",3.23,7,666,0.0013172751223184,23
"AAAA00024","A",3.39,12,666,0.00225818592397441,23
"AAAA00024","A",3.41,12,666,0.00225818592397441,23
"AAAA00024","A",3.44,3,666,0.000564546480993602,23
"AAAA00024","A",3.49,136,666,0.0255927738050433,23
"AAAA00024","A",3.52,18,666,0.00338727888596161,23
"AAAA00024","A",3.54,81,666,0.0152427549868272,23
"AAAA00024","A",3.55,2,666,0.000376364320662401,23
"AAAA00024","A",3.57,40,666,0.00752728641324802,23
"AAAA00024","A",3.59,26,666,0.00489273616861122,23
"AAAA00024","A",3.61,7,666,0.0013172751223184,23
"AAAA00024","A",3.63,2,666,0.000376364320662401,23
"AAAA00024","A",3.64,11,666,0.00207000376364321,23
"AAAA00024","A",3.65,2,666,0.000376364320662401,23
"AAAA00024","A",3.69,1,666,0.000188182160331201,23
"AAAA00024","A",3.7,17,666,0.00319909672563041,23
"AAAA00024","A",3.72,6,666,0.0011290929619872,23
"AAAA00024","A",3.74,3,666,0.000564546480993602,23
"AAAA00024","A",3.75,10,666,0.00188182160331201,23
"AAAA00024","A",3.79,2,666,0.000376364320662401,23
"AAAA00024","A",3.82,62,666,0.0116672939405344,23
"AAAA00024","A",3.84,5,666,0.000940910801656003,23
"AAAA00024","A",3.85,48,666,0.00903274369589763,23
"AAAA00024","A",3.86,2,666,0.000376364320662401,23
"AAAA00024","A",3.87,18,666,0.00338727888596161,23
"AAAA00024","A",3.9,33,666,0.00621001129092962,23
"AAAA00024","A",3.92,15,666,0.00282273240496801,23
"AAAA00024","A",3.97,18,666,0.00338727888596161,23
"AAAA00024","A",3.98,39,666,0.00733910425291682,23
