Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source,overall_value,Population,measure2
2001,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,95.2196816340881,76.6135023683798,120.362842554328,wonder,3214.26702733309,12429181,absolute number
2001,Asian or Pacific Islander,All Origins,us,Deaths,attributable,1042.81330399968,833.023338216213,1308.92385480017,wonder,37040,12429181,absolute number
2001,Asian or Pacific Islander,All Origins,us,YLL,attributable,25321.6066267706,20419.5710119972,31912.939584979,wonder,972975.414943692,12429181,absolute number
2001,Asian or Pacific Islander,Hispanic or Latino,us,age-adjusted Death,attributable,0.991795376583929,0.771956310088433,1.28433686233061,wonder,42.8372438107929,446003,absolute number
2001,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,9.34899160212615,7.438635151739,12.1205915565184,wonder,454,446003,absolute number
2001,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,284.791522595858,225.460900002164,366.043144186627,wonder,15980.71614539,446003,absolute number
2001,Asian or Pacific Islander,Not Hispanic or Latino,us,age-adjusted Death,attributable,95.8850132147437,77.1435620390112,121.678481140565,wonder,3159.02779033532,11983178,absolute number
2001,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,1059.56828288234,847.025796194088,1342.96946364239,wonder,36458,11983178,absolute number
2001,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,25425.8759359968,20538.4578857073,32153.6302905556,wonder,953241.39097937,11983178,absolute number
2001,Black or African American,All Origins,us,age-adjusted Death,attributable,768.14535049189,615.66639639323,977.264604675019,wonder,26966.4132972901,37249775,absolute number
2001,Black or African American,All Origins,us,Deaths,attributable,7755.51485423011,6147.26426145294,9777.30644599649,wonder,287621,37249775,absolute number
2001,Black or African American,All Origins,us,YLL,attributable,206862.145743476,165807.27578192,262279.647890294,wonder,8536141.4538987,37249775,absolute number
2001,Black or African American,Hispanic or Latino,us,age-adjusted Death,attributable,3.69814292274063,2.92528579848365,4.67646412057132,wonder,147.948925954964,1611386,absolute number
2001,Black or African American,Hispanic or Latino,us,Deaths,attributable,39.5204142057432,30.8951171096238,49.6384920969655,wonder,1625,1611386,absolute number
2001,Black or African American,Hispanic or Latino,us,YLL,attributable,1047.71993721602,839.03244491508,1318.8632840059,wonder,58522.025277435,1611386,absolute number
2001,Black or African American,Not Hispanic or Latino,us,age-adjusted Death,attributable,775.881745739159,619.691500487235,987.021286663292,wonder,26650.1317614723,35638389,absolute number
2001,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,7882.33310529661,6261.52101245979,10036.4766212139,wonder,284293,35638389,absolute number
2001,Black or African American,Not Hispanic or Latino,us,YLL,attributable,208402.963611878,166463.424311253,264239.857090211,wonder,8420691.26080769,35638389,absolute number
2001,White,All Origins,us,age-adjusted Death,attributable,4226.4782365691,3237.39986852454,5611.31022228569,wonder,162076.452118328,232192666,absolute number
2001,White,All Origins,us,Deaths,attributable,50938.924771746,38789.7396517473,66829.4125862051,wonder,2079371,232192666,absolute number
2001,White,All Origins,us,YLL,attributable,1080576.90566479,826500.548882886,1433506.82908034,wonder,44266439.55463,232192666,absolute number
2001,White,Hispanic or Latino,us,age-adjusted Death,attributable,215.305720569633,166.639298915365,278.242129331438,wonder,10251.7394725225,34349995,absolute number
2001,White,Hispanic or Latino,us,Deaths,attributable,2324.42589382694,1774.91415470339,2989.26768419444,wonder,110955,34349995,absolute number
2001,White,Hispanic or Latino,us,YLL,attributable,58505.3148039346,45567.9900061255,75270.5647359706,wonder,3544156.20849536,34349995,absolute number
2001,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,3999.24729854048,3061.39937868777,5317.35032324682,wonder,151338.360044495,197842671,absolute number
2001,White,Not Hispanic or Latino,us,Deaths,attributable,48476.3139820194,36872.6694848424,63667.9888411664,wonder,1962697,197842671,absolute number
2001,White,Not Hispanic or Latino,us,YLL,attributable,1019087.05132797,778614.06742208,1354244.37026376,wonder,40574444.2298942,197842671,absolute number
2002,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,19.5114341582564,14.1787348417614,27.1260333448864,wonder,1254.40489034479,3202471,absolute number
2002,American Indian or Alaska Native,All Origins,us,Deaths,attributable,193.730499438643,139.155196690422,270.561745418601,wonder,12408,3202471,absolute number
2002,American Indian or Alaska Native,All Origins,us,YLL,attributable,5287.17777211217,3860.13548885655,7323.48437820268,wonder,418563.998575284,3202471,absolute number
2002,American Indian or Alaska Native,Hispanic or Latino,us,age-adjusted Death,attributable,0.570235184789398,0.454231658908585,0.732885092742337,wonder,30.6923829892625,819168,absolute number
2002,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,5.26457542435482,4.14632810187904,6.74071141831504,wonder,304,819168,absolute number
2002,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,151.924471283676,120.872685398637,195.271345562917,wonder,12902.707131553,819168,absolute number
