"variable","scenario","pm","pop_size","prop","STATEFP"
"AAAA00024","A",2.32,5.9,0.00244235625284597,46
"AAAA00024","A",2.33,2.6,0.00107629258599992,46
"AAAA00024","A",2.37,3.7,0.00153164714161527,46
"AAAA00024","A",3.64,12.4747176514044,0.0051640177387111,46
"AAAA00024","A",3.68,5.59238471001002,0.00231501623132426,46
"AAAA00024","A",3.7,3.34651751794006,0.00138531999749144,46
"AAAA00024","A",4.03,3.7,0.00153164714161527,46
"AAAA00024","A",4.07,4.3,0.00178002235376909,46
"AAAA00024","A",4.12,1,0.000413958686923045,46
"AAAA00024","A",4.19,8.4,0.00347725297015358,46
"AAAA00024","A",4.2,1.4,0.000579542161692263,46
"AAAA00024","A",4.26,9.4,0.00389121165707662,46
"AAAA00024","A",4.38,2.80000037649252,0.00115908447923688,46
"AAAA00024","A",4.4,3.97563438953025,0.00164574839157604,46
"AAAA00024","A",4.42,5.3,0.00219398104069214,46
"AAAA00024","A",4.43,0.6,0.000248375212153827,46
"AAAA00024","A",4.46,7.60761528998998,0.00314923843605993,46
"AAAA00024","A",4.5,2.32436561046975,0.00096219133603914,46
"AAAA00024","A",4.53,0.999998886562226,0.000413958226005806,46
"AAAA00024","A",4.54,0.6,0.000248375212153827,46
"AAAA00024","A",4.56,0.600004192827893,0.000248376947811356,46
"AAAA00024","A",4.57,16.4535019146104,0.00681107004785794,46
"AAAA00024","A",4.63,16.3088104847655,0.00675117377355032,46
"AAAA00024","A",4.65,1.29999303972214,0.000538143411732475,46
"AAAA00024","A",4.68,1.00000260579388,0.000413959765614058,46
"AAAA00024","A",4.72,0.7,0.000289771080846132,46
"AAAA00024","A",4.75,14.8,0.00612658856646107,46
"AAAA00024","A",4.83,1.2,0.000496750424307654,46
"AAAA00024","A",4.84,1.99999995565474,0.000827917355488985,46
"AAAA00024","A",4.85,4.49999999999999,0.0018628140911537,46
"AAAA00024","A",4.86,0.300000022998606,0.000124187615597386,46
"AAAA00024","A",4.88,0.999989809520217,0.000413954468485415,46
"AAAA00024","A",4.96,3.69998128139611,0.00153163939288658,46
"AAAA00024","A",4.97,5.6,0.00231816864676905,46
"AAAA00024","A",4.98,5.39957544222619,0.00223520116000587,46
"AAAA00024","A",5.02,16.6741957210591,0.00690242816618748,46
"AAAA00024","A",5.06,24.1,0.00997640435484539,46
"AAAA00024","A",5.09,0.300010190479783,0.000124191824514544,46
"AAAA00024","A",5.12,16.4252823485956,0.0067993883133649,46
"AAAA00024","A",5.13,16.6,0.00687171420292255,46
"AAAA00024","A",5.16,9.5,0.00393260752576893,46
"AAAA00024","A",5.18,1.3,0.000538146292999959,46
"AAAA00024","A",5.2,1.40042506772602,0.000579718122169979,46
"AAAA00024","A",5.21,1.7,0.000703729767769177,46
"AAAA00024","A",5.22,9.2,0.00380841991969201,46
"AAAA00024","A",5.25,0.6,0.000248375212153827,46
"AAAA00024","A",5.3,8.8999815495232,0.00368422467587995,46
"AAAA00024","A",5.31,0.6,0.000248375212153827,46
"AAAA00024","A",5.36,1.9,0.000786521505153786,46
"AAAA00024","A",5.37,45.2911895595798,0.0187486813592664,46
"AAAA00024","A",5.42,4.80001845047679,0.00198700933496576,46
"AAAA00024","A",5.43,3.3,0.00136606366684605,46
"AAAA00024","A",5.44,0.699999999999999,0.000289771080846131,46
"AAAA00024","A",5.45,0.9,0.000372562818230741,46
"AAAA00024","A",5.46,10,0.00413958686923045,46
"AAAA00024","A",5.47,7.21986455981941,0.00298872565294507,46
"AAAA00024","A",5.51,14.2,0.00587821335430724,46
"AAAA00024","A",5.53,4.6,0.00190420995984601,46
"AAAA00024","A",5.56,2.19999965170389,0.000910708967050499,46
"AAAA00024","A",5.63,1,0.000413958686923045,46
"AAAA00024","A",5.65,4.3,0.00178002235376909,46
"AAAA00024","A",5.71,1.3,0.000538146292999959,46
"AAAA00024","A",5.72,20.3,0.00840336134453781,46
"AAAA00024","A",5.8,3.7,0.00153164714161527,46
"AAAA00024","A",5.82,1.8,0.000745125636461481,46
"AAAA00024","A",5.85,3.1,0.00128327192946144,46
"AAAA00024","A",5.86,17.4,0.00720288115246098,46
"AAAA00024","A",5.87,2.9,0.00120048019207683,46
