Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,STATEFP,label_cause,attr,value,Education,source,measure1,measure2
1992,A,All,25,34,All Origins,1,29,all-cause,overall,249.385840722354,666,nvss,Deaths,age-adjusted rate
1992,A,All,35,44,All Origins,1,29,all-cause,overall,423.837234553196,666,nvss,Deaths,age-adjusted rate
1992,A,All,45,54,All Origins,1,29,all-cause,overall,691.499630563065,666,nvss,Deaths,age-adjusted rate
1992,A,All,55,64,All Origins,1,29,all-cause,overall,1164.129472953,666,nvss,Deaths,age-adjusted rate
1992,A,All,65,74,All Origins,1,29,all-cause,overall,2013.29155921436,666,nvss,Deaths,age-adjusted rate
1992,A,All,75,84,All Origins,1,29,all-cause,overall,2676.82168803346,666,nvss,Deaths,age-adjusted rate
1992,A,All,85,150,All Origins,1,29,all-cause,overall,2150.66119626666,666,nvss,Deaths,age-adjusted rate
1992,A,All,25,34,All Origins,1,29,cvd_ihd,total,2.29848701126594,666,nvss,Deaths,age-adjusted rate
1992,A,All,35,44,All Origins,1,29,cvd_ihd,total,27.5417697543593,666,nvss,Deaths,age-adjusted rate
1992,A,All,45,54,All Origins,1,29,cvd_ihd,total,95.1783199370511,666,nvss,Deaths,age-adjusted rate
1992,A,All,55,64,All Origins,1,29,cvd_ihd,total,173.673673217508,666,nvss,Deaths,age-adjusted rate
1992,A,All,65,74,All Origins,1,29,cvd_ihd,total,281.701664807068,666,nvss,Deaths,age-adjusted rate
1992,A,All,75,84,All Origins,1,29,cvd_ihd,total,398.997949725742,666,nvss,Deaths,age-adjusted rate
1992,A,All,85,150,All Origins,1,29,cvd_ihd,total,364.951585679328,666,nvss,Deaths,age-adjusted rate
1992,A,All,25,34,All Origins,1,29,cvd_stroke,total,1.14924350563297,666,nvss,Deaths,age-adjusted rate
1992,A,All,35,44,All Origins,1,29,cvd_stroke,total,4.59029495905988,666,nvss,Deaths,age-adjusted rate
1992,A,All,45,54,All Origins,1,29,cvd_stroke,total,9.71207346296439,666,nvss,Deaths,age-adjusted rate
1992,A,All,55,64,All Origins,1,29,cvd_stroke,total,12.0367892328966,666,nvss,Deaths,age-adjusted rate
