Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,STATEFP,label_cause,attr,value,Education,source,measure1,measure2
1994,A,All,25,34,All Origins,1,29,all-cause,overall,252.254815161498,666,nvss,Deaths,age-adjusted rate
1994,A,All,35,44,All Origins,1,29,all-cause,overall,469.43093829139,666,nvss,Deaths,age-adjusted rate
1994,A,All,45,54,All Origins,1,29,all-cause,overall,677.13125490372,666,nvss,Deaths,age-adjusted rate
1994,A,All,55,64,All Origins,1,29,all-cause,overall,1100.8911795981,666,nvss,Deaths,age-adjusted rate
1994,A,All,65,74,All Origins,1,29,all-cause,overall,2131.58084464213,666,nvss,Deaths,age-adjusted rate
1994,A,All,75,84,All Origins,1,29,all-cause,overall,2609.71855525249,666,nvss,Deaths,age-adjusted rate
1994,A,All,85,150,All Origins,1,29,all-cause,overall,2260.13423444104,666,nvss,Deaths,age-adjusted rate
1994,A,All,25,34,All Origins,1,29,cvd_ihd,total,2.35752163702335,666,nvss,Deaths,age-adjusted rate
1994,A,All,35,44,All Origins,1,29,cvd_ihd,total,20.7319657289573,666,nvss,Deaths,age-adjusted rate
1994,A,All,45,54,All Origins,1,29,cvd_ihd,total,45.2581301478065,666,nvss,Deaths,age-adjusted rate
1994,A,All,55,64,All Origins,1,29,cvd_ihd,total,73.504115178022,666,nvss,Deaths,age-adjusted rate
1994,A,All,65,74,All Origins,1,29,cvd_ihd,total,226.052636250323,666,nvss,Deaths,age-adjusted rate
1994,A,All,75,84,All Origins,1,29,cvd_ihd,total,297.730797571826,666,nvss,Deaths,age-adjusted rate
1994,A,All,85,150,All Origins,1,29,cvd_ihd,total,314.235373326333,666,nvss,Deaths,age-adjusted rate
1994,A,All,35,44,All Origins,1,29,cvd_stroke,total,1.48085469492552,666,nvss,Deaths,age-adjusted rate
1994,A,All,45,54,All Origins,1,29,cvd_stroke,total,3.48139462675435,666,nvss,Deaths,age-adjusted rate
1994,A,All,55,64,All Origins,1,29,cvd_stroke,total,18.3760287945055,666,nvss,Deaths,age-adjusted rate
1994,A,All,65,74,All Origins,1,29,cvd_stroke,total,19.1030396831259,666,nvss,Deaths,age-adjusted rate
1994,A,All,75,84,All Origins,1,29,cvd_stroke,total,23.286207631316,666,nvss,Deaths,age-adjusted rate
1994,A,All,85,150,All Origins,1,29,cvd_stroke,total,17.7034013141596,666,nvss,Deaths,age-adjusted rate
1994,A,All,25,34,All Origins,1,29,lri,total,1.17876081851168,666,nvss,Deaths,age-adjusted rate
1994,A,All,35,44,All Origins,1,29,lri,total,1.48085469492552,666,nvss,Deaths,age-adjusted rate
1994,A,All,65,74,All Origins,1,29,lri,total,1.59191997359382,666,nvss,Deaths,age-adjusted rate
1994,A,All,75,84,All Origins,1,29,lri,total,1.663300545094,666,nvss,Deaths,age-adjusted rate
1994,A,All,25,34,All Origins,1,29,ncd_lri,total,103.730952029027,666,nvss,Deaths,age-adjusted rate
1994,A,All,35,44,All Origins,1,29,ncd_lri,total,348.000853307498,666,nvss,Deaths,age-adjusted rate
1994,A,All,45,54,All Origins,1,29,ncd_lri,total,591.837086548239,666,nvss,Deaths,age-adjusted rate
1994,A,All,55,64,All Origins,1,29,ncd_lri,total,1005.66993948112,666,nvss,Deaths,age-adjusted rate
1994,A,All,65,74,All Origins,1,29,ncd_lri,total,2010.594926649,666,nvss,Deaths,age-adjusted rate
1994,A,All,75,84,All Origins,1,29,ncd_lri,total,2361.88677403348,666,nvss,Deaths,age-adjusted rate
1994,A,All,85,150,All Origins,1,29,ncd_lri,total,1996.0584981715,666,nvss,Deaths,age-adjusted rate
1994,A,All,35,44,All Origins,1,29,neo_lung,total,13.3276922543297,666,nvss,Deaths,age-adjusted rate
1994,A,All,45,54,All Origins,1,29,neo_lung,total,66.1464979083326,666,nvss,Deaths,age-adjusted rate
1994,A,All,55,64,All Origins,1,29,neo_lung,total,152.019874572727,666,nvss,Deaths,age-adjusted rate
1994,A,All,65,74,All Origins,1,29,neo_lung,total,284.953675273294,666,nvss,Deaths,age-adjusted rate
1994,A,All,75,84,All Origins,1,29,neo_lung,total,166.3300545094,666,nvss,Deaths,age-adjusted rate
1994,A,All,85,150,All Origins,1,29,neo_lung,total,50.1596370567856,666,nvss,Deaths,age-adjusted rate
1994,A,All,25,34,All Origins,1,29,resp_copd,total,2.35752163702335,666,nvss,Deaths,age-adjusted rate
1994,A,All,45,54,All Origins,1,29,resp_copd,total,27.8511570140348,666,nvss,Deaths,age-adjusted rate
1994,A,All,55,64,All Origins,1,29,resp_copd,total,56.7986344557443,666,nvss,Deaths,age-adjusted rate
1994,A,All,65,74,All Origins,1,29,resp_copd,total,179.886957016102,666,nvss,Deaths,age-adjusted rate
1994,A,All,75,84,All Origins,1,29,resp_copd,total,192.942863230904,666,nvss,Deaths,age-adjusted rate
1994,A,All,85,150,All Origins,1,29,resp_copd,total,69.3383218137918,666,nvss,Deaths,age-adjusted rate
