Year,Race,Hispanic.Origin,Deaths,YLL,attrDeaths,attrYLL,allDeaths,allYLL,pop_size,crudeDeaths,crudeYLL,crudeAttrDeaths,crudeAttrYLL,effPaf,propDeaths,propYll,test1,test2
2000,American Indian or Alaska Native,All Origins,1450,14750,134.05701001178,1866.07081074584,10535,228594,2374378,61.0686251304552,621.215324602907,5.64598433828901,78.59198538505,0.0924531103529515,0.0127249178938566,0.00816325367571258,0.137636449928809,0.0645248781682809
2000,American Indian or Alaska Native,Not Hispanic or Latino,1387,14180,129.862347361948,1775.27512813599,10225,219653.5,1969839,70.4118458412084,719.85578516823,6.5925361088875,90.122854108178,0.0936282244859037,0.0127004740696282,0.00808216180546175,0.135647921760391,0.0645562215034133
2000,Asian or Pacific Islander,All Origins,7726,54254.5,868.331904866524,8683.77345397161,28797,457280.5,9996001,77.2909086343629,542.762050544013,8.68679289714481,86.8724748424056,0.112390875597531,0.0301535543586667,0.0189900366492155,0.268291835955134,0.118645995182388
2000,Asian or Pacific Islander,Not Hispanic or Latino,7630,53386,894.531419698879,8724.61067236597,28402,447653,9846166,77.4920918456991,542.200893220772,9.08507351692912,88.6092177642137,0.117238718178097,0.0314953672170579,0.019489673189649,0.268643053306105,0.119257549932649
2000,Black or African American,All Origins,70728,767054,8789.63535512184,131219.625084123,285603,5376894,34614400,204.331145419247,2215.99681057595,25.3930022046369,379.089699905598,0.124273772128745,0.0307757108823151,0.0244043540906931,0.247644457516203,0.142657452425136
2000,Black or African American,Hispanic or Latino,11,0,0.58939645267054,0,938,19744.5,708465,1.55265256575837,0,0.0831934467716175,0,0.0535814956973218,0.000628354427154094,0,0.011727078891258,0
2000,Black or African American,Not Hispanic or Latino,69908,758195.5,9004.11436160152,132107.13709943,282479,5299387.5,33905935,206.18219199677,2236.17340150036,26.5561600398323,389.628355918896,0.128799484488206,0.0318753406858617,0.024928755841959,0.247480343671565,0.143072289014532
2000,White,All Origins,675391,4187906,62943.5376598902,578378.082379374,2066624,21077694,210731990,320.497614054705,1987.31383877692,29.8689997944262,274.461453327221,0.0931957009493615,0.0304571792739706,0.0274402922055597,0.326808843795485,0.198689002696405
2000,White,Hispanic or Latino,26104,218919.5,2655.90459297271,32538.9281953362,104671,2219640,16880095,154.643679434269,1296.90917023867,15.7339433988535,192.765077420099,0.101743203837447,0.0253738341371794,0.0146595520874269,0.249390948782375,0.0986283811789299
2000,White,Not Hispanic or Latino,645663,3907855,59854.8938719984,535889.529911706,1955668,18761164,193851895,333.070254484745,2015.89723948791,30.8766101419841,276.442760547533,0.0927029950175222,0.0306058563478047,0.0285637676804971,0.330149595943688,0.208294911765603
2001,American Indian or Alaska Native,All Origins,1433,16246.5,131.597320765854,1931.16642331117,11085,247183.5,2419261.50005235,59.2329518726681,671.54790830377,5.43956578331884,79.8246251291717,0.0918334408694025,0.0118716572634961,0.00781268338425165,0.129273793414524,0.0657264744612808
2001,American Indian or Alaska Native,Not Hispanic or Latino,1385,14865,127.539610552645,1776.92664663458,10724,234402,1987027.00003382,69.7021228184835,748.102567290077,6.41861487289678,89.4263966521009,0.0920863614098523,0.0118929140761512,0.00758068039792572,0.129149571055576,0.0634166943968055
2001,Asian or Pacific Islander,All Origins,8133,57268.5,920.703226199469,9303.45502992423,30893,486677,10447223.0004789,77.8484387633649,548.169594899762,8.81289914226261,89.0519426023331,0.113205855920259,0.0298029723950237,0.0191162825239825,0.263263522480821,0.117672501474284
2001,Asian or Pacific Islander,Not Hispanic or Latino,8033,56325.5,947.660294081792,9314.68317375151,30526,478449.5,10287600.0004711,78.084295653332,547.508651166656,9.21167516270461,90.5428202236187,0.117970906769799,0.0310443652650787,0.019468477182548,0.263152722269541,0.117725068162889
2001,Black or African American,All Origins,70158,759346,8422.92950163412,125656.55020043,287484,5389698,35041423.2008938,200.21447073591,2166.99531764632,24.0370645146036,358.594311309891,0.120056579458282,0.029298776633253,0.0233142098500565,0.24404140752181,0.140888413413887
2001,Black or African American,Not Hispanic or Latino,69312,750306.5,8612.1473416695,126375.978574762,284158,5310887,34279741.0008712,202.195226615739,2188.77528853246,25.1231400536271,368.660832564489,0.124251894934059,0.0303076011995773,0.0237956444139674,0.243920635702672,0.141277059745387
2001,White,All Origins,659784,4093189.5,59857.4836552005,551093.525519906,2074906,21337121.5,211933100.006239,311.31710902194,1931.35923547549,28.243574813674,260.031833396333,0.0907228481672798,0.0288482869369506,0.0258279227364341,0.317982597765875,0.191834193754767
2001,White,Hispanic or Latino,27701,231433.5,2794.73963873186,34269.6953688967,110740,2328989.5,17861105.600749,155.091183150713,1295.7400576048,15.6470696786802,191.867716002192,0.100889485532359,0.0252369481554259,0.0147144052684208,0.25014448257179,0.0993707786145021
2001,White,Not Hispanic or Latino,629040,3814010.5,56726.7756751403,509793.898112365,1958459,18923386,194071994.40549,324.127137419785,1965.255477321,29.2297587031628,262.682876874658,0.0901799180896927,0.0289650054839751,0.0269398879308579,0.321191303979302,0.2015501084214
2002,American Indian or Alaska Native,All Origins,1506,14659.5,130.541246458826,1682.85357504402,11526,255065.5,2464145.00010471,61.1165333182912,594.912231194881,5.29762844529358,68.2936099528442,0.0866807745410533,0.0113258065641876,0.00659773107317148,0.130661114003123,0.0574734725002009
2002,American Indian or Alaska Native,Not Hispanic or Latino,1471,14028,127.002551640621,1568.92187470412,11221,245499,2004215.00006764,73.3953193619625,699.92490823223,6.33677283307103,78.2811162799987,0.0863375605986544,0.0113182917423243,0.00639074649878054,0.131093485429106,0.0571407622841641
2002,Asian or Pacific Islander,All Origins,8336,56236,918.8836386832,9004.17409881361,31873,490965.5,10898445.0009578,76.4879760302262,516.000218334429,8.43132794267846,82.6188882727973,0.110230762797889,0.0288295309096477,0.0183397287565289,0.261537978853575,0.114541653130413
2002,Asian or Pacific Islander,Not Hispanic or Latino,8253,55632,951.704193771707,9109.01861055592,31424,480093,10729034.0009421,76.92211618749,518.518256118072,8.87036236149628,84.9006407264257,0.115316150947741,0.0302859022967066,0.0189734460001623,0.262633655804481,0.115877548724935
2002,Black or African American,All Origins,70024,758737.5,8158.92146631448,121801.75962425,289838,5431261.5,35468446.4017876,197.426183280672,2139.19011677309,23.0033235002458,343.40878155326,0.116516072579608,0.0281499370900796,0.0224260532519471,0.241597030065071,0.139698208233943
2002,Black or African American,Not Hispanic or Latino,69112,748538.5,8328.63346916677,122231.447593122,286381,5348357,34653547.0017424,199.437015773667,2160.06315302259,24.0339999502735,352.724203346274,0.120509223711754,0.0290823534702608,0.0228540180831464,0.241328859107273,0.139956719418693
2002,White,All Origins,658667,4095834,58444.7881227242,540159.514084487,2097748,21563710.5,213134210.012478,309.038609973237,1921.71589899163,27.4215894854715,253.43632730422,0.0887319208685485,0.0278607288018981,0.0250494697600622,0.313987666774083,0.189941058613266
2002,White,Hispanic or Latino,28239,238599.5,2843.14311343499,34917.3097243449,114225,2401161,18842116.2014981,149.871700705013,1266.30946040461,15.0892982668738,185.315223358875,0.100681437495485,0.0248907254404464,0.0145418444345651,0.247222586999343,0.0993683888752149
2002,White,Not Hispanic or Latino,627171,3802156.5,55246.0659694947,496854.821803871,1977531,19079352.5,194292093.81098,322.798003613134,1956.92805889415,28.434541460674,255.725702501947,0.0880877240329905,0.0279368899751734,0.0260414928548477,0.317148504878052,0.19928121250446
2003,American Indian or Alaska Native,All Origins,1624,17175,154.449454377578,2205.25430115685,12271,271984,2509028.50015706,64.7262476252598,684.527895913693,6.15574730888509,87.892756141224,0.0951043438285581,0.0125865417959073,0.00810802952069554,0.132344552196235,0.0631470968880522
2003,American Indian or Alaska Native,Not Hispanic or Latino,1571,16567,148.472329635836,2075.05862107471,11855,258397,2021403.00010146,77.718297633928,819.579272375102,7.34501381606655,102.654375251771,0.0945081665409521,0.0125240261185859,0.00803050585368526,0.132517924926192,0.0641145214534225
2003,Asian or Pacific Islander,All Origins,8763,61076,974.056711603269,9989.06907899818,33539,514583.5,11349667.0014367,77.2093137084173,538.13032569386,8.58224925436107,88.0120013894125,0.111155621545506,0.0290425090671537,0.0194119498176645,0.261277915262828,0.118690163986991
2003,Asian or Pacific Islander,Not Hispanic or Latino,8599,59216.5,997.484737512113,9890.92304293646,33099,503824.5,11170468.0014132,76.9797648488152,530.116553688785,8.92965932480109,88.5452878221859,0.116000085767195,0.0301364010245661,0.0196316833400052,0.259796368470347,0.117533982567342
2003,Black or African American,All Origins,69313,763372.5,8574.02321053259,129231.057646007,291111,5459152.5,35895469.6026814,193.096791230786,2126.65416680599,23.8860873125118,360.020523694036,0.123700073731228,0.0294527627280748,0.0236723662960518,0.238098182480222,0.139833518114762
2003,Black or African American,Hispanic or Latino,10,0,0.536777383780892,0,1279,25690.5,868116.600067815,1.15191899328026,0,0.0618324063540498,0,0.0536777383780892,0.000419685210149251,0,0.00781860828772479,0
2003,Black or African American,Not Hispanic or Latino,68447,754410,8762.12416229468,130110.463682843,287802,5381173.5,35027353.0026136,195.410141311257,2153.77393759588,25.0150908110039,371.453885405315,0.128013268109555,0.0304449731492299,0.0241788271058057,0.237826700300901,0.140194327501241
2003,White,All Origins,646042,4066265.5,59928.4766782583,560363.332663147,2098666,21672113,214335320.018717,301.416490732179,1897.15138860218,27.9601498591203,261.44236638843,0.0927625087506049,0.0285555093941858,0.0258564235366965,0.307834595881384,0.187626628746353
2003,White,Hispanic or Latino,28416,240971.5,3052.9812173139,37275.2722748416,118964,2508618.5,19823126.8022471,143.347718467799,1215.60792302799,15.4011082498237,188.039317140503,0.107438809730923,0.025663067964375,0.014858884391884,0.238862176792979,0.0960574515415556
2003,White,Not Hispanic or Latino,614796,3771268.5,56510.605398169,514578.694037958,1974764,19088100.5,194512193.216469,316.070673942689,1938.83398137567,29.0524745331925,264.548296705128,0.0919176530071259,0.0286163842353664,0.026958088052709,0.311326315448327,0.197571701804483
2004,American Indian or Alaska Native,All Origins,1574,14739,139.13093689527,1815.03311076937,12304,275863,2553912.00020941,61.6309410767065,577.114638201764,5.44775767073655,71.0687412338619,0.0883932254734877,0.0113077809570278,0.00657947282081821,0.127925877763329,0.0534286946781555
2004,American Indian or Alaska Native,Not Hispanic or Latino,1528,14050.5,134.40856122047,1675.33974664471,11850,260899,2038591.00013528,74.9537302920794,689.226038919412,6.5932088001738,82.1812588466024,0.0879637180762239,0.0113424946177612,0.00642141114624706,0.128945147679325,0.0538541734540953
2004,Asian or Pacific Islander,All Origins,8388,54411.5,894.977231165595,8674.35688765058,33946,507775,11800889.0019156,71.0793907021612,461.079669431408,7.58398143580803,73.5059611715902,0.106697333233857,0.0263647331398573,0.0170830720056139,0.247098332645967,0.107156713111122
2004,Asian or Pacific Islander,Not Hispanic or Latino,8281,53298.5,924.213863592267,8638.42370591501,33437,494143,11611902.0018842,71.3147596203988,458.998878834419,7.95919448374865,74.39284024713,0.111606552782546,0.0276404540955309,0.0174816271927661,0.24765977809014,0.107860477635017
2004,Black or African American,All Origins,66283,740252,8092.52235733951,123466.276269388,287073,5394477,36322492.8035752,182.484721955746,2037.99888956723,22.2796447399749,339.916857956499,0.122090465991876,0.0281897717909365,0.0228875340963338,0.23089249076019,0.137224053416114
2004,Black or African American,Not Hispanic or Latino,65430,730697,8260.50932602566,124204.972527359,283652,5309230.5,35401159.0034847,184.824457282767,2064.04824183319,23.3340081470568,350.850017410822,0.126249569402807,0.0291219851297564,0.0233941571245323,0.230669975885945,0.137627665628757
2004,White,All Origins,610899,3900003,55694.5164285378,529514.70207246,2051685,21385116,215536430.024955,283.431900551229,1809.44028791256,25.8399549542921,245.672948193097,0.0911681250559221,0.0271457443167629,0.0247608992194599,0.297754772296917,0.182369971713036
2004,White,Hispanic or Latino,28285,246563.5,2995.33336834372,37977.7714897226,119075,2489275,20804137.4029962,135.958532921084,1185.16569672574,14.397777280169,182.549128349119,0.105898298332817,0.0251550146407199,0.0152565592350072,0.237539365945832,0.0990503258981029
2004,White,Not Hispanic or Latino,580162,3604429,52394.7397008442,483995.566488416,1928739,18834856,194732292.621959,297.927987283696,1850.96624266495,26.9060354578991,248.544070411585,0.0903105334386675,0.027165282446637,0.0256968020614767,0.3007986046842,0.191370138428454
2005,American Indian or Alaska Native,All Origins,1566,17175.5,153.081483666768,2244.32609505183,13014,287047,2598795.50026177,60.2586852194512,660.902329493412,5.89047824853276,86.3602424594688,0.0977531824181147,0.0117628310793582,0.00781867114114353,0.120331950207469,0.0598351489477333
2005,American Indian or Alaska Native,Not Hispanic or Latino,1525,16665,149.07808253567,2144.80083899177,12517,271895.5,2055779.0001691,74.1811254942561,810.641610729034,7.25165898296498,104.330321440941,0.0977561196955213,0.0119100489363002,0.00788832782812431,0.121834305344731,0.061291930171702
2005,Asian or Pacific Islander,All Origins,8990,60086,974.377868579246,9689.82859243415,36623,542784,12252111.0023946,73.3751106094532,490.413447839778,7.95273458091273,79.0870127649053,0.10838463499213,0.0266056267531127,0.0178520895833963,0.245474155585288,0.11069965216366
2005,Asian or Pacific Islander,Not Hispanic or Latino,8888,59376.5,1007.03472581255,9798.69847492363,36104,529366,12053336.0023553,73.7389217247677,492.614658617312,8.35482164950661,81.294493682155,0.113302736927605,0.0278926081822666,0.0185102527833741,0.246177708841126,0.112165307178776
2005,Black or African American,All Origins,66412,751541.5,8660.62974098676,132192.752176135,292604,5490504,36749516.004469,180.715305180955,2045.03781739223,23.5666498027718,359.712906586468,0.130407603158868,0.0295984666682163,0.0240766152207766,0.226968872605979,0.13688023904545
2005,Black or African American,Hispanic or Latino,33,60,3.10136695342986,5.8363434101377,1940,45550,974551.000113025,3.38617476111284,6.15668138384153,0.318235469777382,0.598875113715016,0.0939808167706017,0.00159864275949993,0.000128130481012902,0.0170103092783505,0.0013172338090011
2005,Black or African American,Not Hispanic or Latino,65598,742924,8845.55455052819,133128.884253406,288970,5396029,35774965.0043559,183.36286280647,2076.65891471743,24.7255435454686,372.128621892982,0.134844881711762,0.0306106327664747,0.0246716398769181,0.227006263625982,0.137679764137665
2005,White,All Origins,614791,3928938.5,59939.1210315475,565211.311029549,2093042,21718815.5,216737540.031194,283.656905910954,1812.76326170101,27.6551634861781,260.781455279136,0.0974951179043731,0.0286373235852637,0.0260240394338977,0.293730847254857,0.180900219903797
2005,White,Hispanic or Latino,30267,261388,3234.42013736635,40321.6898715304,127272,2633735,21785148.0037452,138.934103155033,1199.84495838662,14.846904582931,185.087977665327,0.10686292455038,0.0254134462990002,0.0153096989148606,0.237813501791439,0.0992461276476183
2005,White,Not Hispanic or Latino,582388,3622786.5,56429.7169166458,517685.360613603,1962419,19030473.5,194952392.027449,298.7334466345,1858.29292081213,28.9453831931955,265.544503060374,0.0968936807019475,0.0287551827192082,0.0272029679457846,0.296770465430675,0.190367649023552
2006,American Indian or Alaska Native,All Origins,1713,17912.5,157.807061041369,2213.4705698754,13137,289353.5,2643679.00031412,64.7960663831147,677.559567476674,5.96922171801563,83.7269036676691,0.0921232113493106,0.0120124123499558,0.00764971071673714,0.130395067366979,0.0619052473877109
2006,American Indian or Alaska Native,Not Hispanic or Latino,1630,17225,152.02412535671,2110.081838705,12545,272411,2072967.00020291,78.6312565439028,830.934597526826,7.33364908085026,101.790421096836,0.0932663345746688,0.0121183041336557,0.00774594946131029,0.129932243921881,0.0632316609828531
2006,Asian or Pacific Islander,All Origins,9238,62022.5,957.629708033612,9617.52648265721,37765,552327.5,12703333.0028735,72.7210724768876,488.238007977675,7.53841301190009,75.7086859053585,0.103662016457416,0.0253575985180355,0.0174127243033476,0.24461803256984,0.112292978350707
2006,Asian or Pacific Islander,Not Hispanic or Latino,9091,60087,981.263222819178,9468.37508993748,37229,540178,12494770.0028263,72.7584421157301,480.897207282793,7.85339163983983,75.7787065131709,0.107937875131358,0.0263574961137602,0.0175282501137356,0.244191356200811,0.111235555687199
2006,Black or African American,All Origins,63772,726351.5,7828.51072476423,120929.495473406,289780,5491732,37176539.2053627,171.538290984334,1953.78998563487,21.0576640324685,325.284434910396,0.122757804753877,0.027015358978412,0.0220202834867772,0.220070398233142,0.132262736054855
2006,Black or African American,Hispanic or Latino,21,0,1.07833397885866,0,1669,40131,1027768.20013563,2.04326228396916,0,0.104919959453538,0,0.0513492370885076,0.000646095853120827,0,0.0125823846614739,0
