Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source
2010,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,62.5674000267625,39.9763587768224,96.9193201738857,nvss
2010,American Indian or Alaska Native,All Origins,us,Deaths,attributable,797.168331388063,507.05213798646,1234.78108975866,nvss
2010,American Indian or Alaska Native,All Origins,us,YLL,attributable,21851.955751231,13973.5841734716,33824.8183011621,nvss
2010,American Indian or Alaska Native,Hispanic or Latino,us,age-adjusted Death,attributable,3.20065289392538,2.21365832517192,4.56544369053924,nvss
2010,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,42.4414977777661,29.1907968366506,60.9418947493693,nvss
2010,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,1127.80004951216,780.264498950464,1609.26563152839,nvss
2010,American Indian or Alaska Native,Not Hispanic or Latino,us,age-adjusted Death,attributable,56.0599949093873,34.9513929557661,88.6347043149581,nvss
2010,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,716.563730743417,445.787456987375,1131.22460481302,nvss
2010,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,19578.1026365541,12216.2957915742,30929.3770447756,nvss
2010,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,254.847250421775,176.352071685262,364.267290632826,nvss
2010,Asian or Pacific Islander,All Origins,us,Deaths,attributable,3893.60995020437,2699.72500796817,5580.48308813382,nvss
2010,Asian or Pacific Islander,All Origins,us,YLL,attributable,90299.1719679015,62576.5093331563,129042.795415258,nvss
2010,Asian or Pacific Islander,Hispanic or Latino,us,age-adjusted Death,attributable,3.97828605588986,2.68733924772145,5.810793708321,nvss
2010,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,50.8019108135127,34.3972519614222,74.1465711671063,nvss
2010,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,1421.71761494812,964.230776395606,2076.29970542262,nvss
2010,Asian or Pacific Islander,Not Hispanic or Latino,us,age-adjusted Death,attributable,249.200750145925,172.574036050454,356.120229862006,nvss
2010,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,3823.31766413282,2651.88109377327,5478.63492086446,nvss
2010,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,88297.6918249779,61235.632114263,126152.470914599,nvss
2010,Black or African American,All Origins,us,age-adjusted Death,attributable,1837.26941179442,1301.05081193621,2537.2804120881,nvss
2010,Black or African American,All Origins,us,Deaths,attributable,24229.642734666,17216.3775706781,33581.0283013678,nvss
2010,Black or African American,All Origins,us,YLL,attributable,643171.70485445,456039.954924603,888143.295218466,nvss
2010,Black or African American,Hispanic or Latino,us,age-adjusted Death,attributable,9.92188721242869,6.72960468520616,14.1317344701286,nvss
2010,Black or African American,Hispanic or Latino,us,Deaths,attributable,136.065963846739,92.2658128005092,195.376399721526,nvss
2010,Black or African American,Hispanic or Latino,us,YLL,attributable,3517.11863114211,2396.32462109096,5004.19909591777,nvss
2010,Black or African American,Not Hispanic or Latino,us,age-adjusted Death,attributable,1819.90605171988,1289.84599987387,2512.03469694352,nvss
2010,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,23994.6749256032,17064.8240237056,33233.4206666998,nvss
2010,Black or African American,Not Hispanic or Latino,us,YLL,attributable,637005.775672899,452036.735303713,879139.297180234,nvss
2010,White,All Origins,us,age-adjusted Death,attributable,8987.18564798108,5923.7941641212,13279.0757898797,nvss
2010,White,All Origins,us,Deaths,attributable,149690.097173748,100088.767889431,220115.649053031,nvss
2010,White,All Origins,us,YLL,attributable,3205071.50728188,2119219.22659378,4728936.17079588,nvss
2010,White,Hispanic or Latino,us,age-adjusted Death,attributable,611.878181062627,416.595833426817,872.286010283727,nvss
2010,White,Hispanic or Latino,us,Deaths,attributable,8790.25091902527,5997.37105121682,12579.4894401242,nvss
2010,White,Hispanic or Latino,us,YLL,attributable,216286.114339095,147126.210300323,308111.165190773,nvss
2010,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,8348.09830966955,5488.72967345217,12367.3999003296,nvss
2010,White,Not Hispanic or Latino,us,Deaths,attributable,140526.323940799,93767.3066944634,207037.689625536,nvss
2010,White,Not Hispanic or Latino,us,YLL,attributable,2979331.17077271,1965240.98691576,4407141.248611,nvss
