Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source
2012,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,11.5682167050717,6.90040937840621,18.485145000546,nvss
2012,American Indian or Alaska Native,All Origins,us,Deaths,attributable,148.499943808298,89.0985509069216,238.89559502617,nvss
2012,American Indian or Alaska Native,All Origins,us,YLL,attributable,4050.79350572573,2416.56539634158,6459.90910667525,nvss
2012,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,49.9513698239518,33.6223544212522,72.4733774965266,nvss
2012,Asian or Pacific Islander,All Origins,us,Deaths,attributable,766.021435454326,515.945374465525,1107.89606643276,nvss
2012,Asian or Pacific Islander,All Origins,us,YLL,attributable,17715.1705740931,11921.6596258073,25621.2566023142,nvss
2012,Black or African American,All Origins,us,age-adjusted Death,attributable,308.489934798924,210.068020384512,443.08688120584,nvss
2012,Black or African American,All Origins,us,Deaths,attributable,4079.68142561816,2754.20573630885,5828.57088144918,nvss
2012,Black or African American,All Origins,us,YLL,attributable,108533.093880217,73576.0220258548,155348.075184873,nvss
2012,White,All Origins,us,age-adjusted Death,attributable,1529.47438259597,946.448600353406,2343.36306584517,nvss
2012,White,All Origins,us,Deaths,attributable,25418.549145289,15833.7113862361,38400.7952533202,nvss
2012,White,All Origins,us,YLL,attributable,544771.500837806,336597.720257695,831271.307669712,nvss
2012,White,Hispanic or Latino,us,age-adjusted Death,attributable,119.431235063103,80.81134782915,171.817573611145,nvss
2012,White,Hispanic or Latino,us,Deaths,attributable,1733.99780924896,1166.18121497651,2520.96394741809,nvss
2012,White,Hispanic or Latino,us,YLL,attributable,42444.6510644715,28697.127239982,61067.3312371581,nvss
2012,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,1401.40326746993,861.098000805423,2161.2849630485,nvss
2012,White,Not Hispanic or Latino,us,Deaths,attributable,23570.1622360991,14575.5422998469,35772.6629664164,nvss
2012,White,Not Hispanic or Latino,us,YLL,attributable,499358.738234455,306432.731788332,766841.726223415,nvss
