Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,nation,rural_urban_class,label_cause,attr,Deaths,Education,source
2009,A,White,29,29,Not Hispanic or Latino,us,666,cvd_stroke,total,11,666,nvss
2009,A,White,29,29,Not Hispanic or Latino,us,666,lri,total,18,666,nvss
2009,A,White,29,29,Not Hispanic or Latino,us,666,ncd_lri,total,732,666,nvss
2009,A,White,29,29,Not Hispanic or Latino,us,666,neo_lung,total,3,666,nvss
2009,A,White,29,29,Not Hispanic or Latino,us,666,resp_copd,total,3,666,nvss
2009,A,White,29,29,Not Hispanic or Latino,us,666,t2_dm,total,1,666,nvss
2009,A,White,30,30,Hispanic or Latino,us,666,all-cause,overall,621,666,nvss
2009,A,White,30,30,Hispanic or Latino,us,666,cvd_ihd,total,6,666,nvss
2009,A,White,30,30,Hispanic or Latino,us,666,cvd_stroke,total,4,666,nvss
2009,A,White,30,30,Hispanic or Latino,us,666,lri,total,5,666,nvss
2009,A,White,30,30,Hispanic or Latino,us,666,ncd_lri,total,205,666,nvss
2009,A,White,30,30,Hispanic or Latino,us,666,neo_lung,total,5,666,nvss
2009,A,White,30,30,Not Hispanic or Latino,us,666,all-cause,overall,2614,666,nvss
2009,A,White,30,30,Not Hispanic or Latino,us,666,cvd_ihd,total,53,666,nvss
2009,A,White,30,30,Not Hispanic or Latino,us,666,cvd_stroke,total,14,666,nvss
2009,A,White,30,30,Not Hispanic or Latino,us,666,lri,total,28,666,nvss
2009,A,White,30,30,Not Hispanic or Latino,us,666,ncd_lri,total,849,666,nvss
2009,A,White,30,30,Not Hispanic or Latino,us,666,neo_lung,total,7,666,nvss
2009,A,White,30,30,Not Hispanic or Latino,us,666,resp_copd,total,5,666,nvss
2009,A,White,30,30,Not Hispanic or Latino,us,666,t2_dm,total,1,666,nvss
2009,A,White,31,31,Hispanic or Latino,us,666,all-cause,overall,630,666,nvss
2009,A,White,31,31,Hispanic or Latino,us,666,cvd_ihd,total,12,666,nvss
2009,A,White,31,31,Hispanic or Latino,us,666,cvd_stroke,total,8,666,nvss
2009,A,White,31,31,Hispanic or Latino,us,666,lri,total,6,666,nvss
2009,A,White,31,31,Hispanic or Latino,us,666,ncd_lri,total,253,666,nvss
2009,A,White,31,31,Hispanic or Latino,us,666,neo_lung,total,3,666,nvss
2009,A,White,31,31,Hispanic or Latino,us,666,resp_copd,total,1,666,nvss
2009,A,White,31,31,Hispanic or Latino,us,666,t2_dm,total,1,666,nvss
2009,A,White,31,31,Not Hispanic or Latino,us,666,all-cause,overall,2489,666,nvss
2009,A,White,31,31,Not Hispanic or Latino,us,666,cvd_ihd,total,59,666,nvss
2009,A,White,31,31,Not Hispanic or Latino,us,666,cvd_stroke,total,12,666,nvss
2009,A,White,31,31,Not Hispanic or Latino,us,666,lri,total,15,666,nvss
2009,A,White,31,31,Not Hispanic or Latino,us,666,ncd_lri,total,914,666,nvss
2009,A,White,31,31,Not Hispanic or Latino,us,666,neo_lung,total,11,666,nvss
2009,A,White,31,31,Not Hispanic or Latino,us,666,resp_copd,total,6,666,nvss
