Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source
2013,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,15.3809670820101,9.17468063912268,24.7782400298854,wonder
2013,American Indian or Alaska Native,All Origins,us,Deaths,attributable,154.131798455585,91.5200070213542,250.960742030144,wonder
2013,American Indian or Alaska Native,All Origins,us,YLL,attributable,4127.57110165616,2454.58795669528,6659.213779439,wonder
2013,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,76.735891898028,51.7681877961101,110.423953891866,wonder
2013,Asian or Pacific Islander,All Origins,us,Deaths,attributable,888.819678151964,595.132732723599,1280.09801523661,wonder
2013,Asian or Pacific Islander,All Origins,us,YLL,attributable,19909.2141973285,13508.1248392668,28503.0248573578,wonder
2013,Black or African American,All Origins,us,age-adjusted Death,attributable,390.217583827813,254.984951925337,573.307713107986,wonder
2013,Black or African American,All Origins,us,Deaths,attributable,3921.30032426811,2542.93398603064,5738.9150137298,wonder
2013,Black or African American,All Origins,us,YLL,attributable,103730.587539146,67671.1609263446,151678.932750154,wonder
2013,White,All Origins,us,age-adjusted Death,attributable,2116.21102680321,1280.31439894595,3281.70670895453,wonder
2013,White,All Origins,us,Deaths,attributable,25303.6542250218,15357.6923989438,38751.7522119459,wonder
2013,White,All Origins,us,YLL,attributable,536631.791871367,323216.041339926,831758.422252204,wonder
2013,White,Hispanic or Latino,us,age-adjusted Death,attributable,170.976321000551,113.74775720237,250.225627282228,wonder
2013,White,Hispanic or Latino,us,Deaths,attributable,1855.23533830676,1225.73696906174,2728.53848140694,wonder
2013,White,Hispanic or Latino,us,YLL,attributable,45628.0783268791,30310.9894777907,66477.2938811763,wonder
2013,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,1935.36746949852,1159.5189157119,3021.56423658729,wonder
2013,White,Not Hispanic or Latino,us,Deaths,attributable,23347.8202108763,14059.9563034765,35920.1724592082,wonder
2013,White,Not Hispanic or Latino,us,YLL,attributable,488502.021574465,291123.562871161,762811.850467394,wonder
