Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source
2015,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,15.0229222796579,8.42360942564861,24.9800971328877,wonder
2015,American Indian or Alaska Native,All Origins,us,Deaths,attributable,149.812580412891,83.7109219792498,251.553247299377,wonder
2015,American Indian or Alaska Native,All Origins,us,YLL,attributable,4020.03692259384,2250.33355344422,6692.75242766924,wonder
2015,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,76.6380150287558,50.3995081450186,112.613515624641,wonder
2015,Asian or Pacific Islander,All Origins,us,Deaths,attributable,893.044286848275,580.868792124349,1312.43214127075,wonder
2015,Asian or Pacific Islander,All Origins,us,YLL,attributable,19895.8638266692,13169.1988259759,29095.739035198,wonder
2015,Black or African American,All Origins,us,age-adjusted Death,attributable,369.814167653737,235.90736581768,552.324093468074,wonder
2015,Black or African American,All Origins,us,Deaths,attributable,3753.27859170451,2375.45082227465,5580.57587901276,wonder
2015,Black or African American,All Origins,us,YLL,attributable,98283.1331101245,62649.3693318021,146072.561578734,wonder
2015,White,All Origins,us,age-adjusted Death,attributable,1928.37554185625,1106.13680806366,3087.67931596634,wonder
2015,White,All Origins,us,Deaths,attributable,23103.7507081654,13273.2387748257,36592.1737635633,wonder
2015,White,All Origins,us,YLL,attributable,488467.615864154,278922.735132138,781642.019725343,wonder
2015,White,Hispanic or Latino,us,age-adjusted Death,attributable,172.133754982453,111.358621618642,257.584328374458,wonder
2015,White,Hispanic or Latino,us,Deaths,attributable,1870.20575845667,1201.55104541052,2817.938563179,wonder
2015,White,Hispanic or Latino,us,YLL,attributable,45845.5609967182,29614.4209143402,68459.4918493589,wonder
2015,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,1743.31744242457,986.050225506006,2815.23944142531,wonder
2015,White,Not Hispanic or Latino,us,Deaths,attributable,21098.0760449811,11980.64861883,33616.1052654171,wonder
2015,White,Not Hispanic or Latino,us,YLL,attributable,439344.499300602,247114.725737044,709608.254383762,wonder
