Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source
2014,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,15.922185526132,9.35907907375107,25.8069165926243,wonder
2014,American Indian or Alaska Native,All Origins,us,Deaths,attributable,158.291878157356,92.6596917085365,259.343034761984,wonder
2014,American Indian or Alaska Native,All Origins,us,YLL,attributable,4272.83391293342,2504.1042092603,6936.48568762472,wonder
2014,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,73.379478648056,49.1705216217253,107.127298809991,wonder
2014,Asian or Pacific Islander,All Origins,us,Deaths,attributable,843.810382257117,558.913807055374,1231.40743117178,wonder
2014,Asian or Pacific Islander,All Origins,us,YLL,attributable,19078.2187948542,12863.0346619627,27761.8825815266,wonder
2014,Black or African American,All Origins,us,age-adjusted Death,attributable,394.796646332571,260.452599660355,577.228068695384,wonder
2014,Black or African American,All Origins,us,Deaths,attributable,3975.41132069703,2600.80396991042,5790.61903045629,wonder
2014,Black or African American,All Origins,us,YLL,attributable,105055.752406763,69179.4169170641,152795.389775036,wonder
2014,White,All Origins,us,age-adjusted Death,attributable,2083.73750144322,1258.29971926874,3240.20348743974,wonder
2014,White,All Origins,us,Deaths,attributable,24761.8214807888,14984.3608336933,38030.9895457346,wonder
2014,White,All Origins,us,YLL,attributable,529017.387822217,318011.265532424,822055.618473357,wonder
2014,White,Hispanic or Latino,us,age-adjusted Death,attributable,171.936384573626,113.821389940476,252.64423559965,wonder
2014,White,Hispanic or Latino,us,Deaths,attributable,1856.91943418632,1221.05051559574,2742.82943294681,wonder
2014,White,Hispanic or Latino,us,YLL,attributable,45934.4776455182,30352.3352675457,67372.7730337987,wonder
2014,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,1899.84409036239,1135.95914740215,2974.46483658486,wonder
2014,White,Not Hispanic or Latino,us,Deaths,attributable,22783.2422906709,13676.5799428296,35185.8628152528,wonder
2014,White,Not Hispanic or Latino,us,YLL,attributable,480032.369306938,285493.711392153,751574.78374927,wonder
