"variable","scenario","pm","pop_size","prop","STATEFP"
"AAAA00024","A",3.39,21,0.00514453699167075,23
"AAAA00024","A",3.46,3,0.000734933855952964,23
"AAAA00024","A",3.65,2,0.000489955903968643,23
"AAAA00024","A",3.77,7,0.00171484566389025,23
"AAAA00024","A",3.84,5,0.00122488975992161,23
"AAAA00024","A",3.85,1,0.000244977951984321,23
"AAAA00024","A",3.86,17,0.00416462518373346,23
"AAAA00024","A",3.93,1,0.000244977951984321,23
"AAAA00024","A",3.98,11,0.00269475747182754,23
"AAAA00024","A",4.01,17,0.00416462518373346,23
"AAAA00024","A",4.02,12,0.00293973542381186,23
"AAAA00024","A",4.03,17,0.00416462518373346,23
"AAAA00024","A",4.07,10,0.00244977951984321,23
"AAAA00024","A",4.09,4,0.000979911807937286,23
"AAAA00024","A",4.13,1,0.000244977951984321,23
"AAAA00024","A",4.2,28,0.006859382655561,23
"AAAA00024","A",4.24,5,0.00122488975992161,23
"AAAA00024","A",4.28,1,0.000244977951984321,23
"AAAA00024","A",4.36,1,0.000244977951984321,23
"AAAA00024","A",4.46,1,0.000244977951984321,23
"AAAA00024","A",4.47,1,0.000244977951984321,23
"AAAA00024","A",4.62,1,0.000244977951984321,23
"AAAA00024","A",4.63,8,0.00195982361587457,23
"AAAA00024","A",4.71,1,0.000244977951984321,23
"AAAA00024","A",4.74,9,0.00220480156785889,23
"AAAA00024","A",4.76,4,0.000979911807937286,23
"AAAA00024","A",4.78,3,0.000734933855952964,23
"AAAA00024","A",4.8,14,0.0034296913277805,23
"AAAA00024","A",4.81,2,0.000489955903968643,23
"AAAA00024","A",4.82,2,0.000489955903968643,23
"AAAA00024","A",4.86,1,0.000244977951984321,23
"AAAA00024","A",4.88,20,0.00489955903968643,23
"AAAA00024","A",4.89,2,0.000489955903968643,23
"AAAA00024","A",4.9,3,0.000734933855952964,23
"AAAA00024","A",4.92,5,0.00122488975992161,23
"AAAA00024","A",4.93,3,0.000734933855952964,23
"AAAA00024","A",4.94,1,0.000244977951984321,23
"AAAA00024","A",4.95,10,0.00244977951984321,23
"AAAA00024","A",4.97,10,0.00244977951984321,23
"AAAA00024","A",5,1,0.000244977951984321,23
"AAAA00024","A",5.01,7,0.00171484566389025,23
"AAAA00024","A",5.03,4,0.000979911807937286,23
"AAAA00024","A",5.04,4,0.000979911807937286,23
"AAAA00024","A",5.06,1,0.000244977951984321,23
"AAAA00024","A",5.07,12,0.00293973542381186,23
"AAAA00024","A",5.08,4,0.000979911807937286,23
"AAAA00024","A",5.11,3,0.000734933855952964,23
"AAAA00024","A",5.12,3,0.000734933855952964,23
"AAAA00024","A",5.13,7,0.00171484566389025,23
"AAAA00024","A",5.14,21,0.00514453699167075,23
"AAAA00024","A",5.17,2,0.000489955903968643,23
"AAAA00024","A",5.18,13,0.00318471337579618,23
"AAAA00024","A",5.19,6,0.00146986771190593,23
"AAAA00024","A",5.2,8,0.00195982361587457,23
"AAAA00024","A",5.21,3,0.000734933855952964,23
"AAAA00024","A",5.23,2,0.000489955903968643,23
"AAAA00024","A",5.24,3,0.000734933855952964,23
"AAAA00024","A",5.25,4,0.000979911807937286,23
