"variable","scenario","pm","pop_size","rural_urban_class","prop","STATEFP"
"AAAA00024","A",4.49,12,666,0.00501672240802676,50
"AAAA00024","A",4.57,1,666,0.000418060200668896,50
"AAAA00024","A",4.66,14,666,0.00585284280936455,50
"AAAA00024","A",4.68,2,666,0.000836120401337793,50
"AAAA00024","A",4.72,1,666,0.000418060200668896,50
"AAAA00024","A",4.76,3,666,0.00125418060200669,50
"AAAA00024","A",4.8,5,666,0.00209030100334448,50
"AAAA00024","A",4.82,11,666,0.00459866220735786,50
"AAAA00024","A",4.84,2,666,0.000836120401337793,50
"AAAA00024","A",4.85,7,666,0.00292642140468227,50
"AAAA00024","A",4.9,2,666,0.000836120401337793,50
"AAAA00024","A",4.93,6,666,0.00250836120401338,50
"AAAA00024","A",4.94,8,666,0.00334448160535117,50
"AAAA00024","A",5,62,666,0.0259197324414716,50
"AAAA00024","A",5.01,16,666,0.00668896321070234,50
"AAAA00024","A",5.04,1,666,0.000418060200668896,50
"AAAA00024","A",5.07,13,666,0.00543478260869565,50
"AAAA00024","A",5.11,2,666,0.000836120401337793,50
"AAAA00024","A",5.12,3,666,0.00125418060200669,50
"AAAA00024","A",5.14,13,666,0.00543478260869565,50
"AAAA00024","A",5.18,4,666,0.00167224080267559,50
"AAAA00024","A",5.21,6,666,0.00250836120401338,50
"AAAA00024","A",5.24,7,666,0.00292642140468227,50
"AAAA00024","A",5.25,5,666,0.00209030100334448,50
"AAAA00024","A",5.3,3,666,0.00125418060200669,50
"AAAA00024","A",5.31,3,666,0.00125418060200669,50
"AAAA00024","A",5.33,1,666,0.000418060200668896,50
"AAAA00024","A",5.34,16,666,0.00668896321070234,50
"AAAA00024","A",5.35,7,666,0.00292642140468227,50
"AAAA00024","A",5.38,11,666,0.00459866220735786,50
"AAAA00024","A",5.41,5,666,0.00209030100334448,50
"AAAA00024","A",5.42,6,666,0.00250836120401338,50
"AAAA00024","A",5.46,7,666,0.00292642140468227,50
"AAAA00024","A",5.47,3,666,0.00125418060200669,50
"AAAA00024","A",5.48,4,666,0.00167224080267559,50
"AAAA00024","A",5.49,18,666,0.00752508361204013,50
"AAAA00024","A",5.5,5,666,0.00209030100334448,50
"AAAA00024","A",5.51,3,666,0.00125418060200669,50
"AAAA00024","A",5.52,12,666,0.00501672240802676,50
"AAAA00024","A",5.54,8,666,0.00334448160535117,50
"AAAA00024","A",5.57,7,666,0.00292642140468227,50
"AAAA00024","A",5.6,10,666,0.00418060200668896,50
"AAAA00024","A",5.66,8,666,0.00334448160535117,50
"AAAA00024","A",5.67,5,666,0.00209030100334448,50
"AAAA00024","A",5.69,11,666,0.00459866220735786,50
"AAAA00024","A",5.73,3,666,0.00125418060200669,50
"AAAA00024","A",5.75,29,666,0.012123745819398,50
"AAAA00024","A",5.78,20,666,0.00836120401337793,50
"AAAA00024","A",5.79,37,666,0.0154682274247492,50
"AAAA00024","A",5.82,12,666,0.00501672240802676,50
"AAAA00024","A",5.83,2,666,0.000836120401337793,50
"AAAA00024","A",5.89,2,666,0.000836120401337793,50
"AAAA00024","A",5.95,5,666,0.00209030100334448,50
"AAAA00024","A",5.99,11,666,0.00459866220735786,50
"AAAA00024","A",6.02,5,666,0.00209030100334448,50
"AAAA00024","A",6.05,50,666,0.0209030100334448,50
"AAAA00024","A",6.06,7,666,0.00292642140468227,50
"AAAA00024","A",6.1,10,666,0.00418060200668896,50
"AAAA00024","A",6.11,2,666,0.000836120401337793,50
"AAAA00024","A",6.15,4,666,0.00167224080267559,50
"AAAA00024","A",6.19,6,666,0.00250836120401338,50
"AAAA00024","A",6.21,38,666,0.0158862876254181,50
"AAAA00024","A",6.22,2,666,0.000836120401337793,50
"AAAA00024","A",6.23,26,666,0.0108695652173913,50
"AAAA00024","A",6.27,7,666,0.00292642140468227,50
"AAAA00024","A",6.28,13,666,0.00543478260869565,50
"AAAA00024","A",6.29,25,666,0.0104515050167224,50
"AAAA00024","A",6.32,11,666,0.00459866220735786,50
"AAAA00024","A",6.33,14,666,0.00585284280936455,50
"AAAA00024","A",6.35,4,666,0.00167224080267559,50
"AAAA00024","A",6.37,5,666,0.00209030100334448,50
"AAAA00024","A",6.45,9,666,0.00376254180602007,50
"AAAA00024","A",6.46,6,666,0.00250836120401338,50
"AAAA00024","A",6.47,13,666,0.00543478260869565,50
"AAAA00024","A",6.48,4,666,0.00167224080267559,50
"AAAA00024","A",6.5,10,666,0.00418060200668896,50
"AAAA00024","A",6.53,8,666,0.00334448160535117,50
"AAAA00024","A",6.54,21,666,0.00877926421404682,50
"AAAA00024","A",6.55,6,666,0.00250836120401338,50
"AAAA00024","A",6.57,6,666,0.00250836120401338,50
"AAAA00024","A",6.58,7,666,0.00292642140468227,50
"AAAA00024","A",6.6,116,666,0.048494983277592,50
"AAAA00024","A",6.62,3,666,0.00125418060200669,50
"AAAA00024","A",6.63,24,666,0.0100334448160535,50
"AAAA00024","A",6.67,4,666,0.00167224080267559,50
"AAAA00024","A",6.71,28,666,0.0117056856187291,50
"AAAA00024","A",6.72,11,666,0.00459866220735786,50
"AAAA00024","A",6.73,7,666,0.00292642140468227,50
"AAAA00024","A",6.75,8,666,0.00334448160535117,50
"AAAA00024","A",6.78,78,666,0.0326086956521739,50
"AAAA00024","A",6.8,2,666,0.000836120401337793,50
"AAAA00024","A",6.9,17,666,0.00710702341137124,50
"AAAA00024","A",6.95,4,666,0.00167224080267559,50
"AAAA00024","A",6.99,23,666,0.00961538461538462,50
"AAAA00024","A",7.03,7,666,0.00292642140468227,50
"AAAA00024","A",7.06,8,666,0.00334448160535117,50
"AAAA00024","A",7.07,6,666,0.00250836120401338,50
"AAAA00024","A",7.1,21,666,0.00877926421404682,50
"AAAA00024","A",7.11,18,666,0.00752508361204013,50
"AAAA00024","A",7.27,4,666,0.00167224080267559,50
"AAAA00024","A",7.3,1,666,0.000418060200668896,50
"AAAA00024","A",7.35,3,666,0.00125418060200669,50
"AAAA00024","A",7.46,49,666,0.0204849498327759,50
"AAAA00024","A",7.5,116,666,0.048494983277592,50
"AAAA00024","A",7.6,23,666,0.00961538461538462,50
"AAAA00024","A",7.62,12,666,0.00501672240802676,50
"AAAA00024","A",7.64,1,666,0.000418060200668896,50
"AAAA00024","A",7.65,8,666,0.00334448160535117,50
"AAAA00024","A",7.67,30,666,0.0125418060200669,50
"AAAA00024","A",7.74,37,666,0.0154682274247492,50
"AAAA00024","A",7.75,97,666,0.0405518394648829,50
"AAAA00024","A",7.78,34,666,0.0142140468227425,50
"AAAA00024","A",7.82,4,666,0.00167224080267559,50
"AAAA00024","A",7.91,16,666,0.00668896321070234,50
"AAAA00024","A",7.97,17,666,0.00710702341137124,50
"AAAA00024","A",8.03,14,666,0.00585284280936455,50
"AAAA00024","A",8.08,4,666,0.00167224080267559,50
"AAAA00024","A",8.1,9,666,0.00376254180602007,50
"AAAA00024","A",8.45,7,666,0.00292642140468227,50
"AAAA00024","A",8.58,45,666,0.0188127090301003,50
"AAAA00024","A",8.62,42,666,0.0175585284280936,50
"AAAA00024","A",8.63,48,666,0.020066889632107,50
"AAAA00024","A",8.74,18,666,0.00752508361204013,50
"AAAA00024","A",8.83,107,666,0.0447324414715719,50
"AAAA00024","A",8.9,8,666,0.00334448160535117,50
"AAAA00024","A",9.03,9,666,0.00376254180602007,50
"AAAA00024","A",9.08,5,666,0.00209030100334448,50
"AAAA00024","A",9.18,11,666,0.00459866220735786,50
"AAAA00024","A",9.26,23,666,0.00961538461538462,50
"AAAA00024","A",9.62,83,666,0.0346989966555184,50
"AAAA00024","A",9.65,37,666,0.0154682274247492,50
"AAAA00024","A",9.76,8,666,0.00334448160535117,50
"AAAA00024","A",9.97,39,666,0.016304347826087,50
"AAAA00024","A",10.06,55,666,0.0229933110367893,50
"AAAA00024","A",10.58,66,666,0.0275919732441472,50
"AAAA00024","A",10.69,22,666,0.00919732441471572,50
"AAAA00024","A",10.75,27,666,0.0112876254180602,50
"AAAA00024","A",10.85,69,666,0.0288461538461538,50
"AAAA00024","B",4.49,12,666,0.00501672240802676,50
"AAAA00024","B",4.57,1,666,0.000418060200668896,50
"AAAA00024","B",4.66,14,666,0.00585284280936455,50
"AAAA00024","B",4.68,2,666,0.000836120401337793,50
"AAAA00024","B",4.72,1,666,0.000418060200668896,50
"AAAA00024","B",4.76,3,666,0.00125418060200669,50
"AAAA00024","B",4.8,5,666,0.00209030100334448,50
"AAAA00024","B",4.82,11,666,0.00459866220735786,50
"AAAA00024","B",4.84,2,666,0.000836120401337793,50
"AAAA00024","B",4.85,7,666,0.00292642140468227,50
