Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2012,American Indian or Alaska Native,All Origins,us,Deaths,attributable,152.823502549054,88.6798438162529,237.937700314377
2012,American Indian or Alaska Native,All Origins,us,YLL,attributable,4126.22631628998,2398.35362824634,6415.03156886037
2012,Asian or Pacific Islander,All Origins,us,Deaths,attributable,803.456105994053,531.335212491237,1140.22320959644
2012,Asian or Pacific Islander,All Origins,us,YLL,attributable,18366.2533745204,12218.6442332972,25976.2165712484
2012,Black or African American,All Origins,us,Deaths,attributable,4115.63585777902,2735.3442757173,5807.65316017177
2012,Black or African American,All Origins,us,YLL,attributable,109282.20343077,73085.8563074883,154025.420706415
2012,White,All Origins,us,Deaths,attributable,26027.9119495567,15674.2749225542,38767.9752365265
2012,White,All Origins,us,YLL,attributable,554053.86073621,336642.850552312,823629.265659387
2012,White,Hispanic or Latino,us,Deaths,attributable,1785.07861953238,1167.46440135778,2543.59234513633
2012,White,Hispanic or Latino,us,YLL,attributable,43808.151711163,28896.0147374631,62168.4817505848
2012,White,Not Hispanic or Latino,us,Deaths,attributable,24131.9935355549,14426.4453700819,36056.9287017624
2012,White,Not Hispanic or Latino,us,YLL,attributable,507476.309029674,305335.562534615,758603.444058988
