Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2013,American Indian or Alaska Native,All Origins,us,Deaths,attributable,152.881435791739,88.0431973399991,239.238894022376
2013,American Indian or Alaska Native,All Origins,us,YLL,attributable,4081.53059630925,2352.62815393394,6374.98678277305
2013,Asian or Pacific Islander,All Origins,us,Deaths,attributable,872.146278176341,577.558615867776,1234.64516778907
2013,Asian or Pacific Islander,All Origins,us,YLL,attributable,19506.0709100011,13011.0312583648,27509.4443502958
2013,Black or African American,All Origins,us,Deaths,attributable,3857.47385952669,2460.74933211959,5562.79432729083
2013,Black or African American,All Origins,us,YLL,attributable,102016.611950478,65537.0804924581,147000.301134131
2013,White,All Origins,us,Deaths,attributable,24992.7727975842,14546.1718302095,37811.7475811455
2013,White,All Origins,us,YLL,attributable,530230.707077281,311423.846165118,800822.992572491
2013,White,Hispanic or Latino,us,Deaths,attributable,1826.28544174915,1171.30251441352,2630.91386486712
2013,White,Hispanic or Latino,us,YLL,attributable,44865.941722381,29041.7346011123,64310.0365337407
2013,White,Not Hispanic or Latino,us,Deaths,attributable,23065.738180554,13316.3964811691,35027.5561031565
2013,White,Not Hispanic or Latino,us,YLL,attributable,482864.711644193,280293.186581967,733251.466971756
