Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2006,American Indian or Alaska Native,All Origins,us,Deaths,attributable,191.446097345759,131.455701604087,275.933009079245
2006,American Indian or Alaska Native,All Origins,us,YLL,attributable,5328.57317158595,3690.97763568332,7641.26617666163
2006,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,8.27361276262917,6.24040740543341,10.9696977500469
2006,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,232.288952924131,175.790985742412,307.046051387463
2006,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,177.220636049516,119.445480270093,260.26320688457
2006,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,4882.16600152403,3304.40192704197,7152.77989759812
2006,Asian or Pacific Islander,All Origins,us,Deaths,attributable,944.078350042274,713.782190587888,1247.56136128436
2006,Asian or Pacific Islander,All Origins,us,YLL,attributable,22683.4354207822,17270.3129343793,30154.172674911
2006,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,13.1699983385761,9.70112641860919,17.6912829021374
2006,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,336.602785069674,250.384336768309,454.525749539395
2006,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,955.296992640958,722.723344292216,1279.19886693191
2006,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,22724.1897743658,17316.9613586467,30212.5754426805
2006,Black or African American,All Origins,us,Deaths,attributable,6550.08255543403,5054.83297667911,8521.26134850131
2006,Black or African American,All Origins,us,YLL,attributable,177352.55111958,136816.720203363,230384.112495781
2006,Black or African American,Hispanic or Latino,us,Deaths,attributable,37.4273819661213,27.699102768398,48.8952859117493
2006,Black or African American,Hispanic or Latino,us,YLL,attributable,1015.02479665357,768.52543795355,1334.56359389701
2006,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,6653.63612989138,5136.82930349689,8720.16781486825
2006,Black or African American,Not Hispanic or Latino,us,YLL,attributable,178788.000104692,137587.427931352,232137.46757036
2006,White,All Origins,us,Deaths,attributable,40186.4236744144,29215.166936508,55039.2116935317
2006,White,All Origins,us,YLL,attributable,865031.735082914,631649.609130863,1196643.20603079
2006,White,Hispanic or Latino,us,Deaths,attributable,2208.04005610694,1624.97425374065,2945.7006064868
2006,White,Hispanic or Latino,us,YLL,attributable,56143.522579029,42078.9062569285,74905.701926272
2006,White,Not Hispanic or Latino,us,Deaths,attributable,37907.6129037904,27517.7265280979,52008.224371538
2006,White,Not Hispanic or Latino,us,YLL,attributable,807240.271270774,588067.594192679,1119154.89059161
