Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2003,American Indian or Alaska Native,All Origins,us,Deaths,attributable,203.842834186473,144.383612652449,287.703414280652
2003,American Indian or Alaska Native,All Origins,us,YLL,attributable,5715.9252503192,4086.77643050633,8031.14136725951
2003,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,6.48554668785001,4.98666174654,8.33001211654298
2003,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,193.574850670775,153.245930387324,249.486312456261
2003,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,190.293238612037,132.371061001286,273.845180442958
2003,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,5270.9977745687,3672.9047091379,7584.55199888012
2003,Asian or Pacific Islander,All Origins,us,Deaths,attributable,994.284772065907,774.554458938606,1283.89489744598
2003,Asian or Pacific Islander,All Origins,us,YLL,attributable,24297.9376928735,19113.766462714,31502.6454969262
2003,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,12.5530657020241,9.52867885853249,16.5847612117513
2003,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,360.223597433744,275.653938979108,473.329618709173
2003,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,1006.76815907152,784.981613224916,1314.75268243098
2003,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,24300.4255051521,19098.3548161841,31581.3088107534
2003,Black or African American,All Origins,us,Deaths,attributable,7241.61036580094,5652.7341629583,9279.82947786535
2003,Black or African American,All Origins,us,YLL,attributable,194494.955451971,152848.204259561,250379.571022396
2003,Black or African American,Hispanic or Latino,us,Deaths,attributable,38.8307896630777,29.8132000617981,49.3100953479078
2003,Black or African American,Hispanic or Latino,us,YLL,attributable,998.329941588501,770.387068168406,1259.00897826069
2003,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,7357.99444544776,5749.0738018739,9525.64980968326
2003,Black or African American,Not Hispanic or Latino,us,YLL,attributable,196006.941600388,153507.316165286,252073.168109677
2003,White,All Origins,us,Deaths,attributable,46818.6693972726,34846.199966187,62524.9874234558
2003,White,All Origins,us,YLL,attributable,995966.09138928,747342.047705469,1345388.75982973
2003,White,Hispanic or Latino,us,Deaths,attributable,2277.81867178079,1714.26927129606,2972.986925029
2003,White,Hispanic or Latino,us,YLL,attributable,57300.6628532095,43957.7423952668,74752.2957284685
2003,White,Not Hispanic or Latino,us,Deaths,attributable,44423.0712559845,33017.4177763872,59404.6394365971
2003,White,Not Hispanic or Latino,us,YLL,attributable,935949.46722907,701287.021106485,1266959.58240415
