Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2010,American Indian or Alaska Native,All Origins,us,Deaths,attributable,167.006820543895,106.673096564151,259.086972659707
2010,American Indian or Alaska Native,All Origins,us,YLL,attributable,4586.62728798898,2896.96536074319,7112.06328790361
2010,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,8.89013178966817,6.04453309362857,12.7460841680694
2010,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,233.343318903585,160.634479569701,338.902714242449
2010,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,150.077361166011,93.74292913416,237.320031214825
2010,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,4107.94777576498,2531.91119965818,6502.82649215822
2010,Asian or Pacific Islander,All Origins,us,Deaths,attributable,835.674142862748,583.136516241135,1194.92776522037
2010,Asian or Pacific Islander,All Origins,us,YLL,attributable,19312.8974274464,13556.2401237014,27463.7712965454
2010,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,11.0558838558856,7.58445618636249,16.0778739831409
2010,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,315.190328814805,213.730014260968,458.302920142467
2010,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,820.609436609083,572.723072962687,1173.1339356708
2010,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,18879.7469183337,13265.9530656567,26845.0121850273
2010,Black or African American,All Origins,us,Deaths,attributable,5000.99060012041,3582.98605172192,6929.67243312477
2010,Black or African American,All Origins,us,YLL,attributable,133038.34110236,94670.6224329636,183041.335879652
2010,Black or African American,Hispanic or Latino,us,Deaths,attributable,29.0542495337301,19.8940473637929,41.5676490574725
2010,Black or African American,Hispanic or Latino,us,YLL,attributable,769.917661379223,530.826831618996,1096.89581712431
2010,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,4951.74105027882,3550.85443726761,6856.99011218015
2010,Black or African American,Not Hispanic or Latino,us,YLL,attributable,131734.823150926,93809.9797152098,181149.148548928
2010,White,All Origins,us,Deaths,attributable,31145.2972155684,20757.4052054871,45677.5754802181
2010,White,All Origins,us,YLL,attributable,662328.394498269,439182.782584415,977869.755573003
2010,White,Hispanic or Latino,us,Deaths,attributable,1850.749286162,1249.84867898781,2640.63647068374
2010,White,Hispanic or Latino,us,YLL,attributable,45911.4368018017,31579.0841492371,65457.1377930953
2010,White,Not Hispanic or Latino,us,Deaths,attributable,29221.8531922926,19448.108664631,42931.7747342991
2010,White,Not Hispanic or Latino,us,YLL,attributable,614641.42179107,406451.770648528,909792.233024791
