Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2009,American Indian or Alaska Native,All Origins,us,Deaths,attributable,162.726396818056,103.755848782139,249.061533104456
2009,American Indian or Alaska Native,All Origins,us,YLL,attributable,4560.98240661477,2929.25246084507,7010.39676744672
2009,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,7.97987833883987,5.62452020054571,11.1314066496824
2009,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,227.563635431282,159.738697860524,320.122376358504
2009,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,147.913067846471,91.8464372401552,233.753762649239
2009,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,4096.52910019984,2539.92117508733,6476.64062190749
2009,Asian or Pacific Islander,All Origins,us,Deaths,attributable,848.552907653045,601.33541487434,1183.29174963325
2009,Asian or Pacific Islander,All Origins,us,YLL,attributable,20052.5282367423,14295.0046415218,28076.2108960302
2009,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,11.3487146387605,7.89188356524339,16.2962901317508
2009,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,330.875197030053,227.076116431715,472.179412765976
2009,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,859.94284859428,609.136412817081,1213.0668665421
2009,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,20062.2050076158,14326.2719367,28092.4528271707
2009,Black or African American,All Origins,us,Deaths,attributable,4626.95643878355,3234.35450800771,6504.72111759773
2009,Black or African American,All Origins,us,YLL,attributable,125394.467571554,87615.8360767702,175209.02354664
2009,Black or African American,Hispanic or Latino,us,Deaths,attributable,28.3479477822877,19.3626859097511,39.8492438869381
2009,Black or African American,Hispanic or Latino,us,YLL,attributable,785.813829689008,550.541862938979,1098.84712244037
2009,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,4693.4968536682,3285.2492830416,6611.56803707327
2009,Black or African American,Not Hispanic or Latino,us,YLL,attributable,126219.682125012,87889.7091581844,176375.777025466
2009,White,All Origins,us,Deaths,attributable,29399.8009989383,19159.2897496779,43657.3665453106
2009,White,All Origins,us,YLL,attributable,634983.854285509,414278.12738823,947451.29565696
2009,White,Hispanic or Latino,us,Deaths,attributable,1911.0545978753,1324.1885140674,2682.62477834341
2009,White,Hispanic or Latino,us,YLL,attributable,48925.6403096884,34455.5613214603,68309.9171019505
2009,White,Not Hispanic or Latino,us,Deaths,attributable,27416.3296306352,17777.6561674596,40886.9622577515
2009,White,Not Hispanic or Latino,us,YLL,attributable,584301.354932915,378547.256945742,876585.462609274
