"variable","scenario","pm","pop_size","prop","STATEFP"
"AA66A00024","A",4.92,10,0.000380821813473476,22
"AA66A00024","A",5.29,24,0.000913972352336342,22
"AA66A00024","A",5.81,20,0.000761643626946951,22
"AA66A00024","A",6.11,113,0.00430328649225028,22
"AA66A00024","A",6.25,35,0.00133287634715717,22
"AA66A00024","A",6.28,22,0.000837807989641647,22
"AA66A00024","A",6.41,89,0.00338931413991393,22
"AA66A00024","A",6.6,1,3.80821813473476e-05,22
"AA66A00024","A",6.77,7,0.000266575269431433,22
"AA66A00024","A",6.8,228,0.00868273734719525,22
"AA66A00024","A",6.81,47,0.00178986252332534,22
"AA66A00024","A",6.83,83,0.00316082105182985,22
"AA66A00024","A",6.84,11,0.000418903994820823,22
"AA66A00024","A",6.85,22,0.000837807989641647,22
"AA66A00024","A",6.86,11,0.000418903994820823,22
"AA66A00024","A",6.9,41,0.00156136943524125,22
"AA66A00024","A",6.91,60,0.00228493088084085,22
"AA66A00024","A",6.92,4,0.00015232872538939,22
"AA66A00024","A",6.94,30,0.00114246544042043,22
"AA66A00024","A",6.98,63,0.0023991774248829,22
"AA66A00024","A",7.06,38,0.00144712289119921,22
"AA66A00024","A",7.09,72,0.00274191705700903,22
"AA66A00024","A",7.12,18,0.000685479264252256,22
"AA66A00024","A",7.16,134,0.00510301230054457,22
"AA66A00024","A",7.17,48,0.00182794470467268,22
"AA66A00024","A",7.18,79,0.00300849232644046,22
"AA66A00024","A",7.21,143,0.0054457519326707,22
"AA66A00024","A",7.25,60,0.00228493088084085,22
"AA66A00024","A",7.26,23,0.000875890170988994,22
"AA66A00024","A",7.27,22,0.000837807989641647,22
"AA66A00024","A",7.29,115,0.00437945085494497,22
"AA66A00024","A",7.3,43,0.00163753379793595,22
"AA66A00024","A",7.31,158,0.00601698465288092,22
"AA66A00024","A",7.33,79,0.00300849232644046,22
"AA66A00024","A",7.34,198,0.00754027190677482,22
"AA66A00024","A",7.36,87,0.00331314977721924,22
"AA66A00024","A",7.39,107,0.00407479340416619,22
"AA66A00024","A",7.41,21,0.000799725808294299,22
"AA66A00024","A",7.44,104,0.00396054686012415,22
"AA66A00024","A",7.45,53,0.00201835561140942,22
"AA66A00024","A",7.47,44,0.00167561597928329,22
"AA66A00024","A",7.48,245,0.00933013443010016,22
"AA66A00024","A",7.5,30,0.00114246544042043,22
"AA66A00024","A",7.52,3,0.000114246544042043,22
"AA66A00024","A",7.54,6,0.000228493088084085,22
"AA66A00024","A",7.55,189,0.00719753227464869,22
"AA66A00024","A",7.56,18,0.000685479264252256,22
"AA66A00024","A",7.58,10,0.000380821813473476,22
"AA66A00024","A",7.59,100,0.00380821813473476,22
"AA66A00024","A",7.6,86,0.00327506759587189,22
"AA66A00024","A",7.61,93,0.00354164286530332,22
"AA66A00024","A",7.63,117,0.00445561521763967,22
"AA66A00024","A",7.64,268,0.0102060246010891,22
"AA66A00024","A",7.65,54,0.00205643779275677,22
"AA66A00024","A",7.67,81,0.00308465668913515,22
"AA66A00024","A",7.68,11,0.000418903994820823,22
"AA66A00024","A",7.69,155,0.00590273810883887,22
