Year,Region,Ethnicity,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age,agr_by,measure3
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,575.234936516157,2315.23852698415,4471.57073982423,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,31.6949834865528,131.029565494032,259.218328963232,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,9.30491323461057,38.467246358023,76.1004990220915,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,9.7384290953358,40.2594351720572,79.64602088816,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,1001.5738167678,4140.58527832849,8191.40010677173,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,240.496891580101,994.23314796096,1966.91070631713,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,307.73815050184,1272.21382409936,2516.84526559754,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,Deaths,absolute number,A,7.3068237227735,30.7288767802524,61.7433040130377,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,2.01066583404578,8.45586331419035,16.9903033890346,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,2.22832197018469,9.37121707687008,18.8295169096841,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,YLL,absolute number,A,207.906178800417,874.350277576715,1756.82552240231,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,48.7605111079862,205.062527088131,412.030613491894,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,63.4040074778571,266.645810420855,535.76944755748,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,absolute number,A,264.810540600338,1085.41340699109,2131.54695280786,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,26.0633363153824,106.829186646045,209.792348058025,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",A,24.9108485437741,102.105335111053,200.515595734833,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,YLL,absolute number,A,8043.90145146882,32970.5851592834,64748.0028124803,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,622.95378129347,2553.38169175152,5014.35944070022,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",A,756.693484724258,3101.55800989089,6090.87420733696,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,723.196310740585,2862.65969586269,5445.49141313993,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,29.2992338507293,115.97644321256,220.616067831348,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,22.0484865136959,87.2754918134115,166.019713043214,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,18764.5795771444,74276.6588649923,141292.696659198,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,572.827640030019,2267.44878732973,4313.25208476016,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,572.086131521002,2264.51364165576,4307.66870697095,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,141.343557280876,580.53422777302,1142.36915679453,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,16.3045638178531,66.9670238054349,131.777006174328,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,16.0339271447845,65.8554496026241,129.589662131496,EPA,attributable,25,150,nation,value
