Year,Ethnicity,Education,rural_urban_class,Gender.Code,Region,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method,agr_by,measure3
2000,Black or African American,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,3386.29471616797,1925.95360080358,5372.3863419397,National Vital Statistics System,GBD,nation,value
2000,Black or African American,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,32.3464056354242,25.8869437578971,40.8471486235104,National Vital Statistics System,GBD,nation,value
2000,Black or African American,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,25.2711099904833,19.0013830536012,33.4757622628365,National Vital Statistics System,GBD,nation,value
2000,Black or African American,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,13.4704114157282,7.68660464777148,21.3244190866368,National Vital Statistics System,GBD,nation,value
2000,Black or African American,666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,38.8629530414417,31.0251121355766,48.9441423505302,National Vital Statistics System,GBD,nation,value
2000,Black or African American,666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,30.3974282672759,22.7846997128544,40.1930048726786,National Vital Statistics System,GBD,nation,value
2000,Black or African American,666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,16.2347814743032,9.23352468094587,25.75662355686,National Vital Statistics System,GBD,nation,value
2000,"White, All Origins",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,53409.7623938989,40821.4651355434,69886.496445587,National Vital Statistics System,GBD,nation,value
2000,"White, All Origins",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,45329.7807350402,32938.7414655893,61525.8169181855,National Vital Statistics System,GBD,nation,value
2000,"White, All Origins",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,26121.451088461,14703.2534928111,41773.9330981363,National Vital Statistics System,GBD,nation,value
2000,"White, All Origins",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,21.8092602415506,16.6657165280823,28.5191365835098,National Vital Statistics System,GBD,nation,value
2000,"White, All Origins",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,18.5113977306637,13.4595366139724,25.1013581103074,National Vital Statistics System,GBD,nation,value
2000,"White, All Origins",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,10.6689415403358,6.01437134002612,17.0596869980167,National Vital Statistics System,GBD,nation,value
2000,"White, All Origins",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,35.0165616051934,26.7634096214645,45.8190543914042,National Vital Statistics System,GBD,nation,value
2000,"White, All Origins",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,29.7191559841083,21.5953304794911,40.3376173542311,National Vital Statistics System,GBD,nation,value
2000,"White, All Origins",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,17.1257717739,9.639761696199,27.3878676155507,National Vital Statistics System,GBD,nation,value
